ValgstedId,Husstandsindkomster fordelt på afstemningsområder_100.000 - 149.999 kr,Husstandsindkomster fordelt på afstemningsområder_150.000 - 199.999 kr.,Husstandsindkomster fordelt på afstemningsområder_200.000 - 299.999 kr.,Husstandsindkomster fordelt på afstemningsområder_300.000 - 399.999 kr.,Husstandsindkomster fordelt på afstemningsområder_400.000 - 499.999 kr.,Husstandsindkomster fordelt på afstemningsområder_50%-percentil for husstandsindkomst,Husstandsindkomster fordelt på afstemningsområder_500.000 - 749.999 kr.,Husstandsindkomster fordelt på afstemningsområder_750.000 kr.-,Husstandsindkomster fordelt på afstemningsområder_80%-percentil for husstandsindkomst,Husstandsindkomster fordelt på afstemningsområder_Antal husstande i alt,Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 20% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 50% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Husstandenes formuesum,Husstandsindkomster fordelt på afstemningsområder_Husstandenes indkomstbruttosum,Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 20% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 50% der tjener mest,Husstandsindkomster fordelt på afstemningsområder_Under 100.000 kr.
370027,27,148,560,404,270,502633,470,988,978854,2900,818624318,1456518772,6657303955,1895922364,2277436917,4505181223,33
370028,54,145,698,454,329,368194,488,378,649796,2669,484818582,875271451,3321742704,1195924959,1178328678,2438391599,123
370029,4,10,30,44,49,645861,81,148,1003476,373,99516647,190321477,987850770,262568986,320556038,611288303,7
370031,13,31,109,114,111,536818,203,248,892947,839,207604976,381555712,1951970571,522008093,643994487,1271687722,10
370032,7,58,248,237,181,449470,249,319,831062,1307,365123551,603313660,4043388044,794431962,1200462734,2706197968,8
376001,104,200,952,553,330,319833,390,359,567478,2986,569428502,946195538,3560599311,1282237310,1797823190,2912881975,98
376002,98,149,457,356,290,381749,376,402,713663,2235,449044102,794678056,3129798655,1058439916,1212832495,2439575619,107
376003,29,117,599,342,222,365846,333,359,707555,2031,401898162,711030294,3415555081,963344355,1409628530,2783649369,30
376004,55,126,698,408,289,357294,371,433,684441,2462,527015169,889492226,4086635658,1184030972,1835794048,3309756772,82
376005,8,34,118,172,115,615274,282,446,970938,1183,305198606,585472967,3020578399,811087298,917689979,1912654146,8
376006,14,57,157,138,79,488099,221,213,800052,886,196758771,366812284,1692736272,497084189,534615208,1141601422,7
376007,11,54,358,258,208,475446,317,482,869071,1694,418464703,754821809,3968532910,1015571581,1330147637,2727105791,6
376008,22,95,373,250,190,399332,302,266,711453,1521,313488064,556683873,2805711001,755831574,1016186959,2072358878,23
376009,6,52,152,131,72,437359,157,163,774559,747,173923267,306198856,1467546165,400802951,524119111,1015887808,14
376010,20,99,396,247,171,409318,302,341,770628,1592,334231034,606479629,2691643678,818547031,951764444,1932807187,16
376011,7,53,195,175,125,464181,240,240,796043,1052,239707026,435019679,2011342173,587375640,727086975,1397261677,17
376012,18,62,228,189,134,478276,294,296,809093,1231,289674437,522634226,2338348012,707513159,840596200,1605669966,10
376013,56,174,866,503,359,361859,469,502,697346,2962,613320759,1053606124,4624724688,1419901787,1748039723,3508667054,33
376014,9,40,163,114,88,462407,153,192,817337,768,180033792,324142657,1568501636,434467256,630486287,1135054392,9
376015,9,29,96,59,72,489080,122,132,794231,523,109101528,210146637,1080087816,288988663,324214574,694343934,4
376016,30,112,561,337,209,364444,338,335,693942,1968,408835377,706017372,3208403247,946211076,1304651730,2446083432,46
376017,17,88,224,225,172,480943,312,366,830464,1425,350746883,627222088,3028646610,838613666,984525808,2063324316,21
376018,8,52,169,165,103,457480,180,233,833154,919,210639474,382146652,2034322623,516190807,662065481,1342217177,9
376019,18,93,339,307,235,437494,376,359,764105,1747,409741822,714196618,4501185298,965046064,1445205825,3101708441,20
376020,20,62,217,122,96,331872,102,90,602090,725,136016105,231677437,1042841179,314810013,421037428,760570635,16
390001,119,165,877,525,318,344034,459,504,661120,3111,647681662,1087354917,4393057448,1437814479,1946472011,3615331383,144
390002,37,122,589,372,320,391631,377,391,693268,2237,470498705,812649988,3613910862,1102709868,1352716507,2621423551,29
390003,14,49,226,193,144,532751,290,449,965144,1375,382876356,681548831,3690455375,908204222,1253714130,2540145258,10
390004,17,57,196,195,155,484431,257,339,846212,1237,285874632,529289598,2166137144,719727567,756820427,1480561949,21
390005,4,31,90,71,55,537068,105,177,882851,535,128804771,244459845,1247012165,329404943,407572010,807008728,2
390006,9,85,267,257,198,511117,383,497,868320,1719,432038424,783141856,3571831014,1056153300,1229952756,2458265060,23
390007,3,41,180,142,111,490925,199,265,859204,948,225587110,414268163,1906427978,561591437,565347453,1250661481,7
390008,39,196,848,564,296,357669,486,498,691454,2962,597785130,1037539155,5557444051,1403964889,2050595530,4053071528,35
390009,13,60,172,135,85,390089,157,140,722513,782,167901778,294173543,1678244440,393086167,609911769,1178763393,20
390010,20,74,199,155,132,441270,210,262,812851,1082,265118110,463973761,2434547501,608913478,825873010,1615668867,30
390011,2,30,113,109,66,438652,104,143,829738,574,125406117,231576885,1263181606,314489852,417280256,848061182,7
390012,20,110,673,341,270,390092,367,464,758783,2266,509658996,874895398,4466364138,1172392969,1655937475,3411153664,21
390013,8,32,90,62,56,520969,108,171,903418,534,139808517,254120121,1216962751,336223972,394483712,791269444,7
390014,5,19,61,69,49,448148,70,95,859467,375,106968739,175816661,944742193,229437559,298180726,629637602,7
390015,8,51,167,115,118,461095,171,226,823765,868,205319952,370226780,1444831079,496213959,507473156,1020311690,12
390016,9,54,234,177,142,433480,218,217,754418,1065,240535678,422540274,2080392250,563117708,683672142,1420870074,14
390017,6,30,158,121,117,510937,192,264,867074,896,206485417,390982530,1831934249,534291186,594524213,1193332674,8
400001,24,107,466,311,192,378559,337,283,698998,1736,361011606,630467933,3529751832,854398646,1163516788,2558111261,16
400002,19,96,324,211,170,420483,312,272,730194,1434,323670324,567105198,2939227890,751572470,987369535,2007881163,30
400003,14,56,229,171,124,425776,199,231,794930,1038,283681639,462166353,2690493055,604277852,888764397,1867024691,14
400004,30,128,644,457,245,362183,414,373,684024,2343,456867460,806544612,3857411931,1098077231,1278369505,2719589123,52
400005,6,51,179,142,104,416687,169,154,730298,815,190250333,326415221,1947311806,437741990,623809811,1317784072,10
400006,36,145,595,461,305,411658,527,507,744261,2606,528731289,965710537,4782530929,1318321123,1596729678,3314614381,30
400007,12,63,218,205,133,464440,294,259,770547,1199,268249373,488660899,2260968622,664335453,741424001,1484593907,15
400008,135,411,1990,1353,934,385798,1332,1418,723349,7696,1594272446,2809783689,14718968503,3808333124,5530147909,10981017232,123
400009,17,83,359,260,163,394340,299,234,691976,1437,306899574,534728527,3003838156,723018886,1075127214,2173109697,22
410001,47,156,943,603,393,408451,611,887,833349,3681,1005326028,1657338474,7722703681,2159798568,2996133921,5801983629,41
410002,39,86,555,495,372,503185,611,994,921045,3196,864364053,1533092927,7553286371,2037999456,2512195434,5176850462,44
410003,11,48,200,258,179,663372,376,833,1140677,1918,679336356,1188689429,6181653421,1565292266,1835605490,3793385801,13
410004,9,44,207,180,167,551904,293,456,933690,1362,350439931,651896444,2785450347,886151754,932776707,1832785722,6
410005,7,14,107,85,86,569217,158,253,933865,722,200589259,364401062,1861525943,490777898,603503262,1181124914,12
410006,16,50,401,251,188,476668,343,508,886954,1772,442781461,798918130,3375128782,1065813388,1235662496,2459637609,15
410007,4,29,92,109,81,610035,171,307,986921,797,233991912,422860866,2064291701,570481650,651376075,1294223500,4
410008,17,76,320,223,171,441680,319,321,776094,1462,325100768,589166968,2475757336,785590230,836795215,1724827054,15
410009,14,52,267,197,131,457944,245,334,834835,1253,296951169,539017657,2202925460,720580629,786009057,1524760972,13
410010,8,39,232,170,120,512906,251,357,880438,1184,290771415,535958249,2441744851,721452097,854991860,1647703602,7
410011,7,21,94,111,92,537495,173,211,861782,714,161428715,311593554,1491639355,430150204,464841910,902953697,5
411001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420001,75,241,1061,672,388,359796,624,597,670447,3722,767832760,1312299423,6150117221,1768793371,2591709252,4766501280,64
420002,8,40,128,134,95,969002,178,248,1696236,833,216766654,389000333,1827597248,524453365,635155280,1231444034,3
420003,1,17,51,53,39,555833,86,107,820193,359,92770794,167773255,753458995,222779241,233699742,474490185,5
420004,5,10,38,58,53,543507,95,114,896449,379,113279039,193882986,954861149,260433340,272245740,606889840,6
420005,20,84,460,287,179,1060562,342,537,1816785,1924,480104030,853146788,3500842374,1133325286,1203964420,2459147607,15
420006,2,15,37,57,38,531664,74,96,846041,322,77495949,143768084,712371734,198035523,200785033,416068709,3
420007,5,9,69,67,67,1159204,136,188,1857338,547,149068304,271248940,1249470057,372977536,441072251,802500089,6
420008,22,70,365,217,165,941306,315,347,1599894,1526,334868176,606974959,2582471514,818881024,962388837,1859111997,25
420009,5,21,97,82,52,448828,84,131,860027,479,114703300,207897391,812816589,276542169,278102335,547911695,7
420010,7,16,42,77,44,560021,79,147,919463,423,103399422,198712988,960268266,268336840,294313274,618894966,11
420011,19,95,475,423,280,504988,584,759,857657,2670,604644064,1146854301,5000657132,1562230894,1584354722,3329875035,35
420012,1,16,48,54,41,545990,91,108,881142,363,93578036,169000727,926844147,231161501,283047368,594716466,4
420013,9,62,372,298,201,419174,285,349,783978,1591,359248685,633744667,2934311731,857640934,1091413908,2141336231,15
420014,1,10,42,58,44,489618,77,79,821839,318,66708350,128957517,675006877,180282540,206432026,451330103,7
420015,6,24,93,118,75,584986,178,265,919475,762,194373836,366666228,1782700632,499611976,566434305,1099714145,3
420016,8,34,197,111,76,516797,186,272,884031,888,237130332,424011096,1614414361,559797648,591535313,1200498803,4
420017,10,38,217,162,116,512446,228,352,918903,1132,277538520,515741013,2109442527,692548268,728191527,1481363714,9
420018,7,32,129,104,86,1063819,163,203,1758592,733,181571877,329477934,1378792638,440074614,435838923,879628424,11
430001,2,22,116,107,85,529103,150,216,847518,703,162744085,310245225,1421512441,426992839,433150954,901091325,5
430002,6,23,143,104,81,439850,134,137,775638,636,143612075,255107961,1057089872,345780497,369578908,710192975,8
430003,13,53,178,163,102,447786,175,240,830893,929,206102632,381494453,1674184229,517593068,551635157,1148463203,5
430004,7,17,100,75,53,481095,116,115,803850,487,109404402,200851483,948857123,274302311,342804873,618922494,4
430005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430007,86,252,1105,793,494,377620,716,810,716262,4334,934737290,1606865668,8589994649,2155036675,3290499727,6487143901,78
430008,14,47,165,137,107,479525,211,222,809858,914,223641487,396034079,2234643504,531923105,706273998,1498074409,11
430009,20,45,194,142,106,466313,227,211,769743,958,201106359,377917783,1731370461,512247535,651967780,1229848566,13
430010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430011,2,44,186,191,118,453223,220,240,814552,1008,230545397,418477920,2270744220,569908501,742978536,1507016493,7
430012,9,42,199,130,91,421603,181,177,774463,841,186545336,333768889,1659172149,448529330,529276309,1107917813,12
430013,4,19,82,77,90,544138,145,191,916607,614,141354076,273288107,1360810377,379515142,387139658,826646676,6
430014,10,22,94,93,69,524389,162,167,827375,622,141589837,266550964,1194849536,367544472,418936380,793223886,5
430015,42,175,838,589,390,435166,655,983,853636,3728,883903622,1584273763,7082255737,2104217422,2591631147,5164703309,56
430016,4,23,59,58,57,555976,113,147,865995,467,115561073,215833667,964273932,295722306,279694097,603562438,6
430017,8,63,201,161,107,435719,196,233,798184,985,229793882,410427746,1841015870,547813532,721523226,1330276138,16
430018,15,55,281,167,103,425514,208,280,813203,1116,239743879,446002188,1710207639,599116795,598489884,1232965062,7
430019,10,46,212,157,112,484408,241,280,832193,1065,231935875,440107433,2074686942,602329410,653217973,1392342513,7
430020,7,50,242,241,173,573460,372,583,937401,1671,430652701,803553298,3957866216,1100873234,1304767361,2501273603,3
430021,3,36,161,130,73,530780,194,264,867035,870,208924645,390974994,1875946212,524280991,596659109,1242356728,9
430022,11,56,265,262,214,596653,402,738,951810,1959,499987800,957396819,4616803135,1310797661,1519556335,2945646786,11
440001,8,49,133,163,100,498264,202,261,863482,929,233353862,421738185,2236224908,556463911,719371528,1441063521,13
440002,62,155,910,582,378,398146,516,846,831102,3509,924470181,1530067864,8053279233,1991801347,3121913483,6226594856,60
