ValgstedId,Opførelsesår_Antal_personer_1960-1969
101001,406
101002,729
101003,307
101005,1424
101006,1663
101007,2713
101008,1241
101009,778
101010,441
101011,200
101012,106
101013,87
101014,775
101016,631
101017,357
101018,256
101019,1076
101020,155
101021,851
101022,61
101023,80
101024,34
101025,286
101027,76
101028,289
101029,145
101030,965
101031,60
101032,1833
101033,448
101034,224
101035,219
101036,543
101039,89
101040,179
101041,520
101042,118
101043,204
101044,2292
101046,1977
101047,253
101048,226
101049,0
101050,37
101051,835
101052,97
101053,0
101054,4
101055,0
101056,212
101057,2818
101058,21
101059,750
147001,184
147002,201
147003,696
147004,1128
147005,620
147006,1322
147007,417
147008,0
151001,4045
151002,3659
151003,2251.63
151004,800
151005,2401
151006,4283
151008,571
151009,1475.37
151010,324
153001,1149
153002,893
153003,1046
153004,4239
153005,827.69
153006,770.31
155001,983
155004,1389
157001,426
157002,309
157003,187
157004,723
157005,196
157006,138
157007,130
157008,423
157009,286
157010,422
159001,1448.62
159002,1442
159003,1674
159004,4568
159005,1290
159006,975
159007,328
159008,786
159009,3629.38
161001,403
161002,262
161003,1426
161004,2104
161005,395
161006,262
163001,1196
163002,3161
163003,761
165001,1655
165002,2672
165003,400
165004,4551
165005,2937
167001,1244
167002,1080
167003,1536
167004,1300
167005,1514
167006,3318
167007,3246
167008,432
169001,1682
169002,1934
169004,1691
169006,38
169007,4008
169008,0
169009,507
169010,279.54
169012,1446
169013,74
169014,170.46
173001,375
173002,263
173003,1805
173004,198
173005,55
173006,742
173007,514
173008,639
173009,1145
175001,223
175002,1139
175003,858
175004,3306
175005,1558
175006,1921
175007,0
183001,302
183002,119
183003,129
183004,6.84
183005,998.16
185001,742
185002,2539
185003,2803
185004,334
185005,306
185006,1031
187001,2323
187002,1331
187003,1872
190001,3994
190002,1224
190003,874
190004,59
190005,601
190006,2198
190007,1125
201001,1083
201002,1744
201003,959
201004,1445
201005,257
210001,1111
210002,452
210003,1107
210004,774
210005,389
210007,609
210008,209
210009,398
217001,1439.40
217002,2480
217003,2360
217004,811
217005,794
217006,235
217007,377
217008,186
217009,339
217010,1152
217011,2637
217012,433.60
219001,666
219002,2406
219003,152
219004,242
219005,838
219006,1066
219007,446
219008,220
219009,1415
219010,1133
219011,339
219012,459
219013,328
219014,414
223001,1978
223002,1859
223003,481
223004,57
223005,2679
230001,1721
230003,538
230004,1208
230005,2039
230006,1124
230007,2163
230008,1169
230009,784
230010,1366
240001,197
240002,1054
240003,2549.33
240004,109
240005,778
240006,266
240007,2586.72
240008,872.07
240009,244.88
250001,1487
250002,962
250003,1634
250004,1026
250005,1822
250006,1396
253001,304.27
253002,5120.14
253003,1804.59
253004,2534
253005,1288
259001,756
259002,3725.42
259003,1100.02
259004,1095
259005,984
259006,1165
259007,287.98
259008,136.58
259009,218
259010,107
259011,757
260001,1552
260002,706
260003,1053.72
260004,1602.28
260005,541
265001,497
265002,2074
265003,813
265004,1736
265005,3150
265006,1776
265007,1465
265008,333
265009,303
265010,1756
265011,739
265013,1433
265014,350
265015,493
265016,493
265017,906
265018,222
265021,6
269001,723
269004,1185
269005,1370
270001,955
270002,492
270003,18
270004,656
270005,770
270006,853
270007,278
270008,1165
270009,144
270010,807
270011,514
270012,289
306001,415
306002,807
306003,315
306004,283
306005,213
306006,421
306007,846
306008,198
306010,208
306011,495
306012,79
306013,183
316001,2659
316002,1015
316003,704
316004,505
316005,687
316006,309
316007,537
316008,415
316009,495
316010,341
316011,589
316012,462
316013,529
316014,330
316015,190
320001,969
320002,875
320003,661
320004,372
320005,291
320006,198
320007,463
326001,255
326002,17
326003,414
326004,277
326005,145
326006,84
326007,229
326008,256
326009,540
326010,140
326011,86
326012,497
326013,346
326014,218
326015,695
326016,924
326017,128
326018,1132
329001,998
329002,64
329003,43
329004,896
329005,67
329006,2232
329008,196
329009,149
329010,216
329011,50
329012,65
329013,148
329014,87
330001,208
330003,63
330004,95
330005,1079
330006,1625
330007,578
330008,437
330009,1282
330010,124
330011,1411
330012,0
330013,93
330017,0
330019,1251
330021,1067
330022,2402
330024,160
330025,416
336001,622
336002,1390
336003,620
336004,388
340001,643
340002,205
340004,180
340005,813
340006,515
340008,369
340010,468
350001,569
350002,494
350003,223
350004,62
350005,299
350006,550
350008,411
350009,516
350011,154
350012,679
360001,16
360003,213
360008,44
360011,232.49
360013,992
360014,0
360019,329
360020,1223
360021,614.97
360026,40.55
360027,14
360028,0
360029,65
360035,177
360036,481
360037,499
370001,298
370002,71
370003,111
370004,81
370005,73
370006,198
370007,110
370008,664
370009,85
370010,129
370011,292
370012,20
370014,318
370020,790
370021,293
370022,1747
370023,1330
370024,2653
370026,709
370027,1148
370028,735
370029,242
370031,142
370032,197
376001,97
376002,498
376003,1239
376004,727
376005,286
376006,140
376007,529
376008,207
376009,67
376010,319
376011,176
376012,200
376013,675
376014,79
376015,34
376016,229
376017,172
376018,168
376019,513
376020,105
390001,828
390002,726
390003,380
390004,830
390005,111
390006,401
390007,263
390008,625
390009,103
390010,111
390011,67
390012,513
390013,61
390014,89
390015,147
390016,195
390017,358
400001,284
400002,143
400003,164
400004,432
400005,117
400006,438
400007,260
400008,1990
400009,307
410001,1075
410002,949
410003,554
410004,182
410005,94
410006,405
410007,131
410008,253
410009,318
410010,171
410011,159
411001,0
420001,800
420002,141
420003,66
420004,45
420005,404
420006,96
420007,72
420008,332
420009,102
420010,74
420011,957
420012,47
420013,391
420014,23
420015,294
420016,135
420017,247
420018,173
430001,240
430002,161
430003,186
430004,90
430005,0
430007,1183
430008,224
430009,169
430010,0
430011,265
430012,212
430013,130
430014,175
430015,955
430016,91
430017,178
430018,253
430019,218
430020,704
430021,332
430022,505
440001,163
440002,756
440003,258
440004,450
440005,658
440006,1961
450001,174
450002,2256
450003,506
450004,103
450005,75
450006,620
450007,64
450008,72
450009,65
450010,251
450011,107
450012,107
450013,46
461001,234
461002,254
461003,535
461004,233
461005,2629
461006,950
461007,1207
461009,393
461011,24
461012,1202
461013,156
461014,1110
461016,220
461017,2792
461018,3293
461019,1263
461020,1162
461021,701
461023,398
461024,131
461025,3092
461026,2488
461028,1406
461029,904
461030,1957
461031,798
461032,94
461033,920
461035,3671
461036,0
479001,1161
479002,543
479003,1121
479004,190.63
479005,584
479006,0
479007,249
479008,145.37
479009,283
479010,624
479011,363
479014,194
479016,294
479017,287
479019,211
479021,88
479023,83
479025,138
479027,177
480001,482
480002,73
480003,327
480004,1024
480005,131
480006,144
480007,94
480008,299
480009,130
480010,375
482001,87.42
482002,192.68
482005,520.90
482007,159.79
482011,65.21
492001,255
492002,185
492003,56
510001,825.74
510002,1483
510003,559.03
510004,166.75
510005,152.60
510006,79.76
510007,0
510008,185.77
510009,349
510010,224.23
510011,195.41
510012,153.39
510013,377.23
510014,401.19
510015,101
510016,315
510017,1645.62
510018,371.27
510019,194
510020,426.50
510021,108.60
510022,33.89
530001,805
530002,322
530003,169
530004,113
530005,98
530006,2240
530007,219
540001,1495
540002,601
540003,663
540004,345
540005,833
540006,403
540007,239
540008,43
540009,2070
540010,2937
540011,240
540012,914
540013,409
540014,158
540015,695
540016,1028
540017,102
550001,252
550002,56
550003,54
550004,166
550007,48
550008,114
550012,313
550014,178
550015,163
550016,91
550017,224
550018,54
550019,48
550021,65
550023,449
550024,127
550025,1247
550027,181
550029,112
550051,96
550061,549
550071,89
561002,551
561003,181
561004,560
561005,3061
561006,1196
561007,2360
561008,383
561011,2003
561012,456
561015,2672
561016,1089
561017,184
561020,822
561021,8
561022,123
561023,0
561024,0
561025,1074
561028,1457
561032,326
561033,205
561035,0
561038,144
561040,475
563001,271
563002,52
573001,1967
573004,205
573005,27
573006,96
573007,209
573008,88
573009,95
573010,117
573013,232
573014,65
573015,138
573018,451
573019,49
573022,77
573023,216
573024,49
573026,124
573027,132
573028,134
573030,562
