Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Boliger og personer efter boligstørrelse_01. Antal boliger_0-39 m2,Boliger og personer efter boligstørrelse_02. Antal boliger_40-79 m2,Boliger og personer efter boligstørrelse_03.Antal boliger_80-119 m2,Boliger og personer efter boligstørrelse_04. Antal boliger_120-159 m2,Boliger og personer efter boligstørrelse_05. Antal boliger_160-199 m2,Boliger og personer efter boligstørrelse_06. Antal boliger_200+ m2,Boliger og personer efter boligstørrelse_07. Antal boliger_Uoplyst areal,Boliger og personer efter boligstørrelse_08. Antal personer_0-39 m2,Boliger og personer efter boligstørrelse_09. Antal personer_40-79 m2,Boliger og personer efter boligstørrelse_10. Antal personer_80-119 m2,Boliger og personer efter boligstørrelse_11. Antal personer_120-159 m2,Boliger og personer efter boligstørrelse_12. Antal personer_160-199 m2,Boliger og personer efter boligstørrelse_13. Antal personer_200+ m2,Boliger og personer efter boligstørrelse_14. Antal_personer_Uoplyst areal
,151003,20,2,1,10.47,207.46,660.45,379.71,115.15,32.36,0,10.47,235.06,1759.62,1029.70,328.32,99.92,0
,151004,20,2,1,9,432,1253,183,57,13,0,10,549,3084,551,203,44,0
,151005,20,2,1,22,231,611,852,261,43,1,26,307,1487,2386,826,147,4
,151006,20,2,1,222,1416,1936,292,93,14,1,254,2186,4078,859,315,63,4
,151008,20,2,1,83,494,1074,604,221,33,2,94,671,2375,1745,732,139,7
,151009,20,2,1,55.53,424.54,741.55,526.29,256.85,68.64,1,59.53,545.94,1658.38,1416.30,764.68,234.08,16
,151010,20,2,1,29,203,633,235,117,22,4,31,264,1697,642,370,79,6
,153001,18,2,1,0,425,698,509,162,51,1,0,667,1724,1496,550,218,4
,153002,18,2,1,85,1386,578,206,51,17,7,107,2150,1313,566,158,54,133
,153003,18,2,1,109,873,824,233,58,29,2,111,1263,1779,586,164,64,17
,153004,18,2,1,8,1544,1950,341,61,19,0,9,2226,4403,922,206,65,0
,153005,18,2,1,29.01,520.54,1378.27,693.02,116.54,43.51,2.07,33.15,730.83,3660.88,2283.13,403.48,192.68,17.09
,153006,18,2,1,26.99,484.46,1282.73,644.98,108.46,40.49,1.93,30.85,680.17,3407.12,2124.87,375.52,179.32,15.91
,155001,12,1,1,30,562,603,610,389,141,13,36,818,1193,1544,1184,469,37
,155004,12,1,1,50,453,1107,1354,575,197,24,60,645,2398,3555,1650,697,208
,157001,13,2,1,74,731,934,674,546,398,4,103,1012,1892,1823,1699,1331,7
,157002,13,2,1,4,1273,956,491,168,32,0,4,1980,2367,1530,596,113,0
,157003,13,2,1,24,580,718,618,445,449,6,24,792,1489,1759,1389,1544,265
,157004,13,2,1,171,1966,840,477,240,83,1,192,3043,2114,1429,795,323,1
,157005,13,2,1,42,666,808,843,418,239,2,47,1048,2061,2518,1367,846,6
,157006,13,2,1,28,577,1002,722,531,617,2,33,770,1914,1783,1530,2051,8
,157007,13,2,1,43,931,1340,757,523,455,4,54,1318,2541,1813,1330,1534,20
,157008,13,2,1,48,943,1061,486,286,260,2,52,1342,2031,1167,896,875,3
,157009,13,2,1,138,697,822,534,442,576,4,157,1044,1706,1417,1302,1901,6
,157010,13,2,1,84,1447,862,438,280,337,4,99,1961,1601,1074,813,1168,7
,159001,15,2,1,211.34,1378.50,1160.44,410.19,236.31,122.96,1.92,251.68,1925.09,2562.95,1223.84,730.08,457.26,9.61
,159002,15,2,1,228,2168,1627,284,102,33,9,269,3266,3684,851,358,130,152
,159003,15,2,1,216,1535,1465,444,170,42,13,229,2548,3855,1367,630,165,43
,159004,15,2,1,55,1198,2395,399,156,38,1,62,1776,5999,1255,504,176,3
,159005,15,2,1,92,1783,2011,416,118,6,18,113,2783,5277,1349,422,25,46
,159006,15,2,1,671,825,1648,420,179,67,0,685,1379,4150,1282,601,258,0
,159007,15,2,1,137,1151,818,373,154,36,0,151,1663,1939,1110,510,140,0
,159008,15,2,1,165,1176,1153,294,71,23,2,213,1966,2849,850,258,82,2
,159009,15,2,1,150.66,592.50,748.56,250.81,156.69,90.04,1.08,220.32,947.91,2017.05,709.16,453.92,324.74,3.39
,161001,20,2,1,8,194,432,500,116,19,4,11,327,1088,1463,394,74,11
,161002,20,2,1,47,716,549,261,83,24,5,53,1073,1200,778,246,93,87
,161003,20,2,1,78,1777,798,242,90,16,43,97,2750,1857,720,309,56,112
,161004,20,2,1,31,1491,886,16,4,3,1,34,2373,1820,42,17,19,1
,161005,20,2,1,5,24,97,400,184,42,2,10,28,234,1071,522,124,7
,161006,20,2,1,36,392,982,257,64,28,16,38,561,2270,779,198,107,74
,163001,16,2,1,196,2773,1827,363,128,29,6,201,4189,4556,1134,441,115,20
,163002,16,2,1,50,176,1961,934,328,67,67,51,283,4413,2603,1037,261,185
,163003,16,2,1,397,1866,1557,447,248,56,5,410,2739,4068,1318,727,195,7
,165001,19,2,1,849,492,764,646,163,39,11,866,645,1758,1887,459,105,24
,165002,19,2,1,96,298,938,499,153,16,2,102,442,2300,1305,454,51,9
,165003,19,2,1,22,1033,935,280,48,19,5,26,1422,2320,962,170,98,16
,165004,19,2,1,384,395,1815,23,1,0,5,402,542,4338,85,2,0,66
,165005,19,2,1,0,361,1683,534,39,1,1,0,443,4716,1599,114,2,1
,167001,17,2,1,391,1314,807,327,118,13,3,408,2111,1922,982,436,50,10
,167002,17,2,1,63,1286,478,349,40,5,0,76,2047,1217,1051,152,26,0
,167003,17,2,1,329,1500,966,204,81,13,2,343,2306,2403,656,298,51,13
,167004,17,2,1,10,1276,1044,376,110,30,6,11,1993,2556,1185,370,126,131
,167005,17,2,1,23,1152,933,651,222,48,4,42,2010,2359,1876,779,220,14
,167006,17,2,1,163,1161,1194,555,182,65,6,174,1859,2664,1627,609,227,17
,167007,17,2,1,13,609,1257,992,319,62,6,14,895,3278,2964,1163,280,15
,167008,17,2,1,91,1335,1475,326,55,17,4,101,2086,4014,984,222,79,25
,169001,19,2,1,211,1021,600,108,26,10,1,282,1717,1937,332,92,42,1
,169002,19,2,1,68,660,845,366,155,35,7,107,1091,2049,1001,461,123,34
,169004,19,2,1,15,275,982,828,203,69,5,21,367,2307,2365,570,238,126
,169006,19,2,1,249,1008,1462,253,125,24,6,336,1576,4360,786,436,105,7
,169007,19,2,1,7,1305,1646,333,96,24,4,28,1855,3859,942,320,124,4
,169008,19,2,1,105,740,1227,89,28,3,0,118,1014,3006,302,87,10,0
,169009,19,2,1,6,103,248,323,192,109,7,17,133,552,898,576,388,18
,169010,19,2,1,96.91,322.40,757.24,382.66,130.45,28.57,16.77,123.62,482.67,1985.96,1115.04,423.65,121.75,38.51
,169012,19,2,1,0,678,600,707,257,59,4,0,1146,1614,1999,826,208,11
,169013,19,2,1,1,5,102,113,67,38,9,1,14,225,316,213,139,19
