ValgstedId,Opførelsesår_Antal_personer_1970-1979
479016,383
479017,365
479019,464
479021,95
479023,159
479025,100
479027,174
480001,695
480002,24
480003,245
480004,1489
480005,101
480006,215
480007,104
480008,442
480009,165
480010,1461
482001,74.14
482002,302.98
482005,709.88
482007,341.80
482011,122.20
492001,366
492002,190
492003,98
510001,1417.66
510002,896
510003,581.96
510004,158.16
510005,195.12
510006,272.83
510007,0
510008,187.17
510009,911
510010,230.83
510011,100.94
510012,242.20
510013,136.38
510014,335.85
510015,279
510016,152
510017,1925.78
510018,330.11
510019,179
510020,635.79
510021,125.38
510022,61.83
530001,1888
530002,422
530003,281
530004,143
530005,140
530006,2578
530007,378
540001,823
540002,491
540003,418
540004,494
540005,736
540006,932
540007,467
540008,39
540009,2035
540010,1840
540011,169
540012,968
540013,857
540014,339
540015,838
540016,1396
540017,144
550001,439
550002,96
550003,96
550004,261
550007,48
550008,169
550012,903
550014,163
550015,70
550016,153
550017,456
550018,96
550019,39
550021,50
550023,1346
550024,136
550025,1565
550027,195
550029,208
550051,128
550061,800
550071,102
561002,337
561003,69
561004,266
561005,1567
561006,256
561007,809
561008,428
561011,1606
561012,662
561015,2269
561016,1894
561017,417
561020,518
561021,3973
561022,1368
561023,2130
561024,542
561025,2652
561028,1908
561032,526
561033,491
561035,0
561038,241
561040,573
563001,589
563002,55
573001,2578
573004,205
573005,190
573006,123
573007,441
573008,147
573009,308
573010,253
573013,540
573014,92
573015,342
573018,862
573019,86
573022,289
573023,398
573024,91
573026,362
573027,215
573028,197
573030,1338
573031,401
573032,270
573033,87
575001,1400
575002,82
575003,787
575004,82
575005,130
575006,57
575007,562
575008,143
575009,462
575010,94
575011,313
575012,51
575013,120
575014,1845
575015,36
575016,393
575017,249
575018,271
575019,285
580001,150
580002,87
580003,1769
580004,1065
580005,531
580006,89
580007,449
580008,460
580009,373
580010,198
580011,511
580012,886
580013,515
580014,662
580015,1125
580016,811
580017,729
580018,1306
607001,1447
607002,372
607003,3410
607004,69
607005,1346
607006,3400
607007,588
607008,130
615001,131
615002,233
615003,265
615004,0
615005,763
615006,4225
615007,1651
615008,608
615009,339
615010,350
615011,1548
615012,1731
615013,977
615014,178
615015,105
615016,557
615017,576
615018,689
615019,248
615020,62
615021,904
615022,72
621001,300
621002,2145
621003,633
621004,1567
621005,1936
621006,950
621007,912
621008,371
621009,705
621010,844
621011,1545
621012,709
621013,827
621014,1320
621015,1001
630001,762
630002,1026
630003,566
630004,496
630005,421
630006,575
630007,198
630008,445
630009,345
630010,241
630011,1666
630012,548
630013,1553
630014,252
630015,0
630016,341
630017,1327
630018,415
630019,205
630020,204
630021,78
630022,40
630023,296
630024,530
630025,194
630026,197
630027,540
630028,181
630029,375
630030,1864
630031,30
630032,2924
630033,42
630034,693
657001,1943
657002,290
657005,692
657006,126
657007,1621
657008,457
657009,131
657011,35
657013,1187
657014,169
657015,923
657016,227
657017,2159
657018,208
657019,238
657020,56
657021,66
657022,314
657023,1386
657024,1123
657025,232
657026,2465
657027,1257
657028,74
657029,472
657030,250
661001,1954
661002,1173
661003,324
661004,477
661005,5459
661006,1125
661007,349
661008,711
661009,406
661010,266
665001,1565
665002,417
665003,568
665004,317
665005,162
665006,188
665007,681
665008,532
671001,1569
671002,535
671003,400
671004,429
671005,440
671006,572
671007,506
706001,2040
706002,417
706003,291
706004,542
706005,845
706006,1191
706007,400
706008,1641
707001,1343
707002,0
707003,278
707004,1272
707005,715
707006,201
707007,442
707008,497
707009,784
707010,314
710001,1010
710002,927
710003,537
710004,1715
710005,158
710006,911
710007,1260
710008,269
710009,571
