Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Opførelsesår_Antal_personer_2000-2009
,101001,1,1,1,121
,101002,1,1,1,0
,101003,1,1,1,120
,101005,1,1,1,216
,101006,1,1,1,195
,101007,2,1,1,593
,101008,2,1,1,229
,101009,2,1,1,4980
,101010,2,1,1,4662
,101011,3,1,1,118
,101012,3,1,1,0
,101013,3,1,1,1293
,101014,3,1,1,33
,101016,4,1,1,1115
,101017,4,1,1,349
,101018,4,1,1,81
,101019,4,1,1,977
,101020,5,1,1,0
,101021,5,1,1,153
,101022,5,1,1,11
,101023,5,1,1,84
,101024,5,1,1,0
,101025,5,1,1,42
,101027,6,1,1,1699
,101028,6,1,1,393
,101029,6,1,1,328
,101030,6,1,1,995
,101031,7,1,1,101
,101032,7,1,1,0
,101033,7,1,1,23
,101034,7,1,1,126
,101035,7,1,1,418
,101036,7,1,1,224
,101039,7,1,1,0
,101040,7,1,1,225
,101041,7,1,1,220
,101042,8,1,1,29
,101043,8,1,1,264
,101044,8,1,1,76
,101046,8,1,1,4
,101047,8,1,1,32
,101048,8,1,1,1213
,101049,9,1,1,0
,101050,9,1,1,20
,101051,9,1,1,221
,101052,9,1,1,91
,101053,9,1,1,299
,101054,9,1,1,0
,101055,9,1,1,5272
,101056,1,1,1,1391
,101057,2,1,1,2223
,101058,5,1,1,265
,101059,6,1,1,12
,147001,10,1,1,0
,147002,10,1,1,46
,147003,10,1,1,0
,147004,10,1,1,104
,147005,11,1,1,1051
,147006,11,1,1,448
,147007,11,1,1,820
,147008,11,1,1,0
,151001,20,2,1,385
,151002,20,2,1,32
,151003,20,2,1,82.79
,151004,20,2,1,16
,151005,20,2,1,87
,151006,20,2,1,357
,151008,20,2,1,1169
,151009,20,2,1,96.21
,151010,20,2,1,693
,153001,18,2,1,54
,153002,18,2,1,196
,153003,18,2,1,55
,153004,18,2,1,13
,153005,18,2,1,839.60
,153006,18,2,1,781.40
,155001,12,1,1,328
,155004,12,1,1,913
,157001,13,2,1,82
,157002,13,2,1,162
,157003,13,2,1,33
,157004,13,2,1,245
,157005,13,2,1,22
,157006,13,2,1,18
,157007,13,2,1,764
,157008,13,2,1,163
,157009,13,2,1,78
,157010,13,2,1,47
,159001,15,2,1,178.68
,159002,15,2,1,482
,159003,15,2,1,363
,159004,15,2,1,70
,159005,15,2,1,1968
,159006,15,2,1,85
,159007,15,2,1,172
,159008,15,2,1,46
,159009,15,2,1,18.32
,161001,20,2,1,459
,161002,20,2,1,366
,161003,20,2,1,251
,161004,20,2,1,71
,161005,20,2,1,163
,161006,20,2,1,174
,163001,16,2,1,93
,163002,16,2,1,212
,163003,16,2,1,297
,165001,19,2,1,57
,165002,19,2,1,6
,165003,19,2,1,762
,165004,19,2,1,2
,165005,19,2,1,125
,167001,17,2,1,161
,167002,17,2,1,44
,167003,17,2,1,23
,167004,17,2,1,44
,167005,17,2,1,156
,167006,17,2,1,207
,167007,17,2,1,107
,167008,17,2,1,482
,169001,19,2,1,25
,169002,19,2,1,60
,169004,19,2,1,91
,169006,19,2,1,1113
,169007,19,2,1,297
,169008,19,2,1,805
,169009,19,2,1,221
,169010,19,2,1,284.51
,169012,19,2,1,69
,169013,19,2,1,93
,169014,19,2,1,173.49
,173001,14,2,1,161
,173002,14,2,1,310
,173003,14,2,1,220
,173004,14,2,1,245
,173005,14,2,1,1
,173006,14,2,1,152
,173007,14,2,1,8
,173008,14,2,1,108
,173009,14,2,1,114
,175001,16,2,1,66
,175002,16,2,1,267
,175003,16,2,1,155
,175004,16,2,1,114
,175005,16,2,1,8
,175006,16,2,1,84
,175007,16,2,1,0
,183001,18,2,1,235
,183002,18,2,1,5
,183003,18,2,1,17
,183004,18,2,1,183.64
,183005,18,2,1,325.36
,185001,12,1,1,713
,185002,12,1,1,221
,185003,12,1,1,380
,185004,12,1,1,265
,185005,12,1,1,78
,185006,12,1,1,148
,187001,18,2,1,1566
,187002,18,2,1,152
,187003,18,2,1,1027
,190001,25,3,1,268
,190002,25,3,1,138
,190003,25,3,1,1203
,190004,25,3,1,26
,190005,25,3,1,164
,190006,25,3,1,1660
,190007,25,3,1,61
,201001,26,3,1,74
,201002,26,3,1,248
,201003,26,3,1,319
,201004,26,3,1,478
,201005,26,3,1,520
,210001,22,3,1,803
,210002,22,3,1,106
,210003,22,3,1,110
,210004,22,3,1,499
,210005,22,3,1,704
,210007,22,3,1,292
,210008,22,3,1,26
,210009,22,3,1,126
,217001,21,3,1,318.16
,217002,21,3,1,531
,217003,21,3,1,410
,217004,21,3,1,501
,217005,21,3,1,405
,217006,21,3,1,69
,217007,21,3,1,122
,217008,21,3,1,316
,217009,21,3,1,383
,217010,21,3,1,187
,217011,21,3,1,406
,217012,21,3,1,95.84
,219001,23,3,1,770
,219002,23,3,1,286
,219003,23,3,1,181
,219004,23,3,1,19
,219005,23,3,1,211
,219006,23,3,1,2022
,219007,23,3,1,174
,219008,23,3,1,62
,219009,23,3,1,69
,219010,23,3,1,526
,219011,23,3,1,316
,219012,23,3,1,849
,219013,23,3,1,274
,219014,23,3,1,116
,223001,22,3,1,678
,223002,22,3,1,283
,223003,22,3,1,167
,223004,22,3,1,31
,223005,22,3,1,286
,230001,26,3,1,498
,230003,26,3,1,172
,230004,26,3,1,132
,230005,26,3,1,727
,230006,26,3,1,34
