ValgstedId,Opførelsesår_Antal_boliger_1980-1989
101001,38
101002,150
101003,68
101005,213
101006,301
101007,228
101008,549
101009,191
101010,2
101011,9
101012,0
101013,220
101014,183
101016,48
101017,623
101018,11
101019,56
101020,122
101021,483
101022,820
101023,363
101024,316
101025,148
101027,222
101028,10
101029,179
101030,41
101031,6
101032,0
101033,46
101034,32
101035,68
101036,111
101039,8
101040,110
101041,246
101042,9
101043,325
101044,96
101046,119
101047,204
101048,0
101049,0
101050,217
101051,100
101052,0
101053,0
101054,0
101055,67
101056,0
101057,87
101058,1515
101059,76
147001,350
147002,314
147003,210
147004,100
147005,371
147006,25
147007,878
147008,176
151001,25
151002,182
151003,24.74
151004,121
151005,142
151006,45
151008,404
151009,398.26
151010,61
153001,39
153002,78
153003,110
153004,226
153005,34.18
153006,31.82
155001,78
155004,268
157001,71
157002,88
157003,72
157004,70
157005,27
157006,55
157007,155
157008,97
157009,81
157010,146
159001,79.73
159002,185
159003,283
159004,136
159005,19
159006,78
159007,150
159008,328
159009,39.27
161001,2
161002,58
161003,182
161004,22
161005,67
161006,856
163001,84
163002,251
163003,139
165001,41
165002,21
165003,99
165004,97
165005,663
167001,156
167002,236
167003,89
167004,47
167005,191
167006,101
167007,162
167008,637
169001,16
169002,35
169004,22
169006,795
169007,24
169008,658
169009,57
169010,469.62
169012,88
169013,52
169014,286.38
173001,110
173002,50
173003,209
173004,232
173005,32
173006,52
173007,5
173008,616
173009,157
175001,161
175002,44
175003,353
175004,346
175005,60
175006,110
175007,0
183001,88
183002,121
183003,143
183004,36.14
183005,200.86
185001,370
185002,134
185003,25
185004,26
185005,176
185006,654
187001,198
187002,210
187003,8
190001,214
190002,129
190003,345
190004,97
190005,614
190006,178
190007,21
201001,9
201002,61
201003,110
201004,238
201005,571
210001,517
210002,155
210003,170
210004,449
210005,226
210007,304
210008,18
210009,554
217001,147.55
217002,282
217003,117
217004,358
217005,264
217006,14
217007,53
217008,20
217009,408
217010,115
217011,199
217012,44.45
219001,466
219002,17
219003,9
219004,121
219005,47
219006,97
219007,37
219008,44
219009,311
219010,206
219011,113
219012,130
219013,61
219014,105
223001,282
223002,330
223003,187
223004,3
223005,859
230001,203
230003,114
230004,438
230005,175
230006,92
230007,298
230008,355
230009,170
230010,222
240001,12
240002,817
240003,109.37
240004,510
240005,98
240006,24
240007,108.68
240008,388.22
240009,258.72
250001,572
250002,671
250003,315
250004,419
250005,469
250006,358
253001,449.13
253002,1803.15
253003,468.72
253004,255
253005,470
259001,123
259002,278.73
259003,685.60
259004,22
259005,361
259006,1169
259007,225.40
259008,168.27
259009,249
259010,15
259011,301
260001,522
260002,233
260003,213.66
260004,238.34
260005,222
265001,325
265002,180
265003,514
265004,75
265005,45
265006,730
265007,506
265008,161
265009,9
265010,73
265011,313
265013,208
265014,230
265015,493
265016,64
265017,346
265018,82
265021,0
269001,371
269004,306
269005,1070
270001,177
270002,113
270003,6
270004,301
270005,43
270006,534
270007,45
270008,477
270009,15
270010,63
270011,128
270012,78
306001,183
306002,194
306003,97
306004,117
306005,47
306006,114
306007,393
306008,98
306010,57
306011,199
306012,26
306013,15
316001,297
316002,910
316003,169
316004,135
316005,128
316006,84
316007,302
316008,108
316009,199
316010,128
316011,271
316012,118
316013,133
316014,163
316015,48
320001,286
320002,488
320003,309
320004,199
320005,165
320006,246
320007,159
326001,185
326002,25
326003,196
326004,222
326005,52
326006,40
326007,37
326008,124
326009,374
326010,41
326011,9
326012,129
326013,86
326014,19
326015,149
326016,153
326017,10
326018,424
329001,706
329002,10
329003,25
329004,304
329005,8
329006,355
329008,36
329009,24
329010,8
329011,38
329012,10
329013,34
329014,23
330001,126
330003,32
330004,101
330005,365
330006,290
330007,113
330008,141
330009,548
330010,77
330011,484
330012,0
330013,58
330017,0
330019,840
330021,235
330022,454
330024,5
330025,61
336001,312
336002,233
336003,263
336004,139
340001,219
340002,62
340004,51
340005,213
340006,164
340008,226
340010,320
350001,159
350002,95
350003,85
350004,59
350005,11
350006,230
350008,117
350009,81
350011,138
350012,49
360001,29
360003,135
360008,29
360011,142.33
360013,313
360014,0
360019,124
360020,586
360021,41.50
360026,6.17
360027,15
360028,0
360029,59
360035,100
360036,125
360037,155
370001,159
370002,11
370003,102
370004,117
370005,30
370006,151
370007,36
370008,241
370009,121
370010,42
370011,161
370012,1
370014,207
370020,169
370021,215
370022,700
370023,326
370024,151
370026,38
370027,162
370028,369
370029,34
370031,44
370032,161
376001,301
376002,43
376003,351
376004,31
376005,93
376006,66
376007,480
376008,101
376009,21
376010,200
376011,70
376012,86
376013,389
376014,63
376015,16
376016,129
376017,102
376018,123
376019,217
376020,47
390001,301
390002,137
390003,240
390004,161
390005,38
390006,118
390007,132
390008,235
390009,39
390010,31
390011,56
390012,234
390013,48
390014,15
390015,60
390016,124
390017,61
400001,176
400002,108
400003,63
400004,283
400005,124
400006,258
400007,81
400008,733
400009,249
410001,154
410002,635
410003,282
410004,12
410005,15
410006,181
410007,36
410008,139
410009,111
410010,76
410011,29
411001,0
420001,348
420002,45
420003,4
420004,10
420005,165
420006,13
420007,23
420008,196
420009,22
420010,18
420011,336
420012,12
420013,166
420014,14
420015,31
420016,165
420017,180
420018,64
430001,36
430002,59
430003,103
430004,33
430005,0
430007,462
430008,44
430009,38
430010,0
430011,38
430012,41
430013,23
430014,41
430015,392
430016,27
430017,78
430018,119
430019,122
430020,118
430021,67
430022,199
440001,33
440002,376
440003,49
440004,87
440005,274
440006,330
450001,44
450002,389
450003,146
450004,255
450005,7
450006,103
450007,17
450008,14
450009,21
450010,132
450011,38
450012,30
450013,40
461001,691
461002,285
461003,19
461004,52
461005,915
461006,160
461007,219
461009,28
461011,108
461012,107
461013,57
461014,592
461016,698
461017,224
461018,54
461019,50
461020,414
461021,29
461023,767
461024,28
461025,664
461026,638
461028,307
461029,39
461030,691
461031,294
461032,26
461033,352
461035,426
461036,1840
479001,704
479002,378
479003,835
479004,11.91
479005,168
479006,0
479007,193
479008,9.09
479009,154
479010,250
479011,303
479014,47
479016,19
479017,78
479019,100
479021,17
479023,36
479025,45
479027,92
480001,204
480002,14
480003,45
480004,420
480005,11
480006,41
480007,32
480008,106
480009,34
480010,276
482001,42.21
482002,95.97
482005,320.82
482007,52.35
482011,31.65
492001,70
492002,57
492003,33
510001,854.48
510002,76
510003,151.98
510004,23.66
510005,31.92
510006,146.94
510007,0
510008,53.52
510009,115
510010,37.48
510011,26.17
510012,20.39
510013,37.54
510014,82.44
510015,78
510016,45
510017,440.58
510018,73.89
510019,19
510020,150.74
510021,33.29
510022,13.98
530001,696
530002,111
530003,83
530004,72
530005,45
530006,704
530007,84
540001,302
540002,210
540003,218
540004,49
540005,186
540006,162
540007,79
540008,13
540009,730
540010,160
540011,169
540012,594
540013,116
540014,80
540015,198
540016,469
540017,23
550001,96
550002,10
550003,10
550004,101
550007,18
550008,51
550012,250
550014,26
550015,43
550016,24
550017,87
550018,42
550019,17
550021,16
550023,226
550024,20
550025,455
550027,49
550029,37
550051,33
550061,235
550071,6
561002,436
561003,4
561004,265
561005,179
561006,201
561007,82
561008,95
561011,69
561012,160
561015,453
561016,892
561017,25
561020,82
561021,3
561022,798
561023,924
561024,844
561025,567
561028,475
561032,63
561033,112
561035,0
561038,40
561040,159
563001,170
563002,21
573001,893
573004,26
573005,29
573006,15
573007,53
573008,27
573009,44
573010,37
573013,95
573014,21
573015,77
573018,209
573019,37
573022,67
573023,96
573024,17
573026,41
573027,14
573028,44
573030,304
573031,109
573032,98
573033,40
575001,290
575002,40
575003,175
575004,23
575005,49
575006,43
575007,221
575008,20
575009,114
575010,16
575011,70
575012,8
575013,17
575014,795
575015,33
575016,41
575017,65
575018,55
575019,64
580001,28
580002,39
580003,370
580004,157
580005,83
580006,33
580007,101
580008,99
580009,108
580010,75
580011,153
580012,245
580013,104
580014,189
580015,496
580016,251
580017,160
580018,525
607001,188
607002,53
607003,959
607004,36
607005,307
607006,498
607007,64
607008,401
615001,75
615002,352
615003,374
615004,0
615005,362
615006,458
615007,109
615008,92
615009,142
615010,160
615011,479
615012,205
615013,244
615014,27
615015,22
615016,151
615017,79
615018,121
615019,68
615020,12
615021,28
615022,28
621001,528
621002,420
621003,529
621004,560
621005,307
621006,149
621007,218
621008,99
621009,50
621010,189
621011,129
621012,175
621013,113
621014,256
621015,272
630001,75
630002,268
630003,45
630004,44
630005,100
630006,131
630007,58
630008,37
630009,679
630010,14
630011,730
630012,93
630013,847
630014,4
630015,63
630016,17
630017,352
630018,71
630019,46
630020,28
630021,15
630022,8
630023,57
630024,247
630025,32
630026,37
630027,88
630028,58
630029,23
630030,97
630031,18
630032,806
630033,32
630034,162
657001,760
657002,43
657005,249
657006,40
657007,180
657008,108
657009,21
657011,20
657013,185
657014,31
657015,267
657016,53
657017,515
657018,41
657019,53
657020,24
657021,31
657022,52
657023,217
657024,217
657025,44
657026,222
657027,302
657028,21
657029,53
657030,49
661001,699
661002,210
661003,61
661004,154
661005,1225
661006,243
661007,72
661008,133
661009,84
661010,54
665001,382
665002,44
665003,30
665004,72
665005,52
665006,51
665007,175
665008,112
671001,431
671002,271
671003,67
671004,65
671005,62
671006,52
671007,109
706001,620
706002,161
706003,70
706004,161
706005,235
706006,530
706007,132
706008,375
707001,640
707002,0
707003,75
707004,287
707005,174
707006,82
707007,124
707008,149
707009,194
707010,105
710001,458
710002,68
710003,39
710004,412
710005,29
710006,347
710007,255
710008,47
710009,217
710010,117
710011,62
710012,55
710013,44
710014,24
727001,743
727002,2
727003,46
727004,26
727005,90
727006,17
727007,25
727008,34
727009,0
727010,0
730001,140
730002,160
730004,9
730005,67
730006,45
730007,70
730008,80
730009,34
730010,52
730011,317.84
730012,101
730013,299
730014,97
730015,13
730016,38
730017,55
730021,95
730024,82.16
730025,11
730026,244
730027,94
730028,173
730029,282
730030,158
730031,195
730032,75
730033,142
730034,438
730036,187
730037,16
740001,131
740002,161
740003,111
740004,69
740005,71
740006,724
740007,282
740008,48
740009,17
740010,85
740011,53
740012,20
740013,177
740014,10
740015,49
740016,88
740017,37
740018,81
740021,105
740022,89
740023,120
740024,65
740025,5
740026,1
740027,244
740028,156
740029,230
740030,290
740031,354
740032,154
741001,91
741002,15
746001,40
746002,400
746003,80
746004,333
746005,104
746006,365
746007,219
746008,409
746009,129
746010,179
746011,43
746012,85
751001,20
751002,0
751003,808
751004,80
