ValgstedId,Opførelsesår_Antal_personer_1980-1989
101001,87
101002,313
101003,141
101005,428
101006,779
101007,500
101008,1355
101009,486
101010,6
101011,12
101012,0
101013,400
101014,252
101016,119
101017,1485
101018,30
101019,148
101020,326
101021,1243
101022,2280
101023,416
101024,850
101025,440
101027,696
101028,31
101029,421
101030,113
101031,22
101032,0
101033,103
101034,76
101035,134
101036,339
101039,19
101040,264
101041,475
101042,23
101043,777
101044,151
101046,305
101047,503
101048,0
101049,0
101050,522
101051,242
101052,0
101053,0
101054,0
101055,84
101056,0
101057,211
101058,4197
101059,226
147001,572
147002,575
147003,313
147004,232
147005,654
147006,50
147007,1645
147008,334
151001,64
151002,230
151003,63.76
151004,204
151005,282
151006,82
151008,878
151009,735.24
151010,141
153001,91
153002,181
153003,266
153004,387
153005,86.50
153006,80.50
155001,177
155004,627
157001,165
157002,140
157003,171
157004,145
157005,70
157006,129
157007,192
157008,138
157009,156
157010,238
159001,177.72
159002,376
159003,556
159004,335
159005,39
159006,172
159007,322
159008,661
159009,102.28
161001,4
161002,120
161003,297
161004,51
161005,166
161006,1828
163001,188
163002,528
163003,272
165001,73
165002,57
165003,186
165004,155
165005,1120
167001,282
167002,661
167003,144
167004,132
167005,434
167006,189
167007,466
167008,1542
169001,47
169002,90
169004,61
169006,1762
169007,62
169008,1297
169009,140
169010,1106.97
169012,253
169013,131
169014,675.03
173001,158
173002,113
173003,474
173004,379
173005,67
173006,139
173007,11
173008,949
173009,309
175001,343
175002,108
175003,649
175004,654
175005,140
175006,291
175007,0
183001,209
183002,255
183003,273
183004,38.10
183005,439.90
185001,947
185002,361
185003,61
185004,64
185005,286
185006,1132
187001,390
187002,430
187003,11
190001,434
190002,288
190003,641
190004,226
190005,1258
190006,344
190007,50
201001,28
201002,108
201003,198
201004,482
201005,1376
210001,1006
210002,315
210003,334
210004,991
210005,536
210007,741
210008,51
210009,1106
217001,273.59
217002,538
217003,228
217004,721
217005,512
217006,34
217007,74
217008,52
217009,717
217010,312
217011,396
217012,82.41
219001,884
219002,46
219003,26
219004,291
219005,100
219006,200
219007,90
219008,106
219009,608
219010,465
219011,190
219012,316
219013,103
219014,208
223001,436
223002,598
223003,409
223004,16
223005,1564
230001,461
230003,252
230004,586
230005,405
230006,197
230007,585
230008,705
230009,356
230010,471
240001,34
240002,1657
240003,195.87
240004,1148
240005,231
240006,43
240007,247.21
240008,970.56
240009,480.36
250001,866
250002,1323
250003,679
250004,727
250005,894
250006,758
253001,800.59
253002,3700.48
253003,1092.93
253004,860
253005,1114
259001,224
259002,527.46
259003,1188.39
259004,47
259005,678
259006,2461
259007,482.61
259008,393.54
259009,524
259010,29
259011,616
260001,1049
260002,471
260003,453.54
260004,458.46
260005,351
265001,492
265002,331
265003,891
265004,147
265005,77
265006,1403
265007,913
265008,331
265009,20
265010,93
265011,606
265013,476
265014,424
265015,970
265016,168
265017,675
265018,206
265021,0
269001,730
269004,714
269005,2270
270001,394
270002,226
270003,31
270004,678
270005,99
270006,1055
270007,101
270008,961
270009,46
270010,139
270011,300
270012,151
306001,302
306002,380
306003,180
306004,250
306005,87
306006,177
306007,580
306008,152
306010,110
306011,351
306012,34
306013,29
316001,563
316002,1565
316003,236
316004,339
316005,284
316006,146
316007,620
316008,198
316009,339
316010,232
316011,447
316012,216
316013,264
316014,275
316015,81
320001,491
320002,875
320003,520
320004,356
320005,321
320006,533
320007,292
326001,341
326002,34
326003,345
326004,363
326005,75
326006,57
326007,76
326008,216
326009,599
326010,82
326011,21
326012,180
326013,129
326014,41
326015,232
326016,332
326017,20
326018,756
329001,1240
329002,15
329003,49
329004,562
329005,18
329006,698
329008,110
329009,55
329010,18
329011,71
329012,22
329013,89
329014,51
330001,218
330003,59
330004,200
330005,617
330006,501
330007,248
330008,300
330009,1043
330010,126
330011,833
330012,0
330013,110
330017,0
330019,1461
330021,474
330022,869
330024,19
330025,117
336001,624
336002,428
336003,453
336004,241
340001,402
340002,126
340004,92
340005,341
340006,320
340008,421
340010,587
350001,354
350002,193
350003,185
350004,124
350005,33
350006,416
350008,254
350009,153
350011,326
350012,95
360001,43
360003,205
360008,38
360011,222.65
360013,504
360014,0
360019,195
360020,848
360021,83.00
360026,7.34
360027,28
360028,0
360029,88
360035,154
360036,220
360037,259
370001,273
370002,17
370003,163
370004,220
370005,63
370006,304
370007,89
370008,498
370009,241
370010,79
370011,308
370012,2
370014,419
370020,352
370021,296
370022,1347
370023,629
370024,222
370026,86
370027,311
370028,803
370029,74
370031,93
370032,278
376001,400
376002,52
376003,554
376004,60
376005,195
376006,122
376007,790
376008,165
376009,42
376010,330
376011,117
376012,157
376013,578
376014,94
376015,30
376016,181
376017,183
376018,213
376019,345
376020,70
390001,478
390002,183
390003,418
390004,300
390005,61
390006,215
390007,222
390008,354
390009,67
390010,50
390011,93
390012,404
390013,95
390014,27
390015,102
390016,222
390017,96
400001,267
400002,166
400003,107
400004,438
400005,217
400006,414
400007,143
400008,1112
400009,391
410001,214
410002,1151
410003,607
410004,29
410005,25
410006,294
410007,68
410008,241
410009,179
410010,131
410011,53
411001,0
420001,548
420002,69
420003,9
420004,17
420005,357
420006,27
420007,48
420008,318
420009,40
420010,38
420011,577
420012,17
420013,279
420014,19
420015,63
420016,330
420017,320
420018,117
430001,67
430002,106
430003,173
430004,50
430005,0
430007,811
430008,86
430009,59
430010,0
430011,68
430012,71
430013,50
430014,61
430015,615
430016,50
430017,126
430018,179
430019,216
430020,241
430021,129
430022,391
440001,68
440002,702
440003,117
440004,149
440005,562
440006,587
450001,62
450002,742
450003,243
450004,409
450005,13
450006,178
450007,43
450008,33
450009,36
450010,208
450011,77
450012,60
450013,75
461001,974
461002,377
461003,31
461004,64
461005,1650
461006,314
461007,456
461009,48
461011,158
461012,168
461013,109
461014,1073
461016,1262
461017,410
461018,113
461019,147
461020,679
461021,84
461023,1092
461024,57
461025,1200
461026,1225
461028,564
461029,76
461030,1248
461031,578
461032,51
461033,671
461035,828
461036,3321
479001,1088
479002,543
479003,1478
479004,22.13
479005,297
479006,0
479007,403
479008,16.87
479009,246
479010,490
479011,529
479014,80
479016,33
479017,121
479019,169
479021,36
479023,57
479025,64
479027,168
480001,365
480002,26
480003,95
480004,818
480005,20
480006,96
480007,59
480008,216
480009,66
480010,446
482001,71.85
482002,151.27
482005,475.88
482007,103.16
482011,45.84
492001,106
492002,95
492003,53
510001,1327.41
510002,128
510003,243.71
510004,56.67
510005,73.56
510006,308.66
510007,0
510008,105.36
510009,258
510010,75.64
510011,81.71
510012,59.20
510013,83.89
510014,163.10
510015,134
510016,104
510017,712.44
510018,131.66
510019,43
510020,230.25
510021,51.62
510022,29.12
530001,1376
530002,168
530003,180
530004,89
530005,88
530006,1199
530007,152
540001,540
540002,370
540003,336
540004,90
540005,357
540006,317
540007,143
540008,20
540009,1054
540010,275
540011,219
540012,1235
540013,232
540014,160
540015,392
540016,837
540017,48
550001,195
550002,25
550003,16
550004,151
550007,34
550008,92
550012,442
550014,59
550015,61
550016,55
550017,153
550018,81
550019,31
550021,39
550023,400
550024,45
550025,736
550027,90
550029,67
550051,61
550061,367
550071,11
561002,587
561003,7
561004,446
561005,256
561006,289
561007,139
561008,211
561011,117
561012,416
561015,770
561016,1700
561017,65
561020,191
561021,8
561022,1434
561023,1639
561024,1835
561025,1081
561028,788
561032,126
561033,201
561035,0
561038,70
561040,281
563001,305
563002,29
573001,1584
573004,59
573005,47
573006,42
573007,117
573008,49
573009,93
573010,75
573013,183
573014,42
573015,145
573018,382
573019,68
573022,127
573023,153
573024,33
573026,77
573027,23
573028,64
573030,521
573031,215
573032,199
573033,82
575001,520
575002,78
575003,322
575004,39
575005,92
575006,77
575007,365
575008,46
575009,194
575010,36
575011,128
575012,12
575013,30
575014,1325
575015,72
575016,109
575017,135
575018,121
575019,118
580001,58
580002,68
580003,694
580004,334
580005,175
580006,58
580007,177
580008,195
580009,194
580010,125
580011,274
580012,409
580013,209
580014,377
580015,808
580016,435
580017,273
580018,1012
607001,298
607002,105
607003,2108
607004,64
607005,590
607006,822
607007,136
607008,545
615001,115
615002,760
615003,573
615004,0
615005,513
615006,926
615007,229
615008,203
615009,266
615010,331
615011,1096
615012,544
615013,427
615014,69
615015,32
615016,275
615017,165
615018,185
615019,123
615020,38
615021,40
615022,42
621001,853
621002,689
621003,1026
621004,1217
621005,708
621006,276
621007,436
621008,138
621009,127
621010,353
621011,266
621012,332
621013,211
621014,520
621015,490
630001,141
630002,509
630003,81
630004,99
630005,170
630006,236
630007,103
630008,85
630009,1039
630010,29
630011,1290
630012,190
630013,1602
630014,7
630015,86
630016,29
630017,622
630018,158
630019,91
630020,74
630021,36
630022,21
630023,114
630024,434
630025,79
630026,75
630027,137
630028,107
630029,55
630030,200
630031,37
630032,1672
630033,57
630034,305
657001,1134
657002,90
657005,523
657006,93
657007,385
657008,217
657009,48
657011,46
657013,317
657014,55
657015,501
657016,93
657017,1069
657018,71
657019,128
657020,54
657021,61
657022,101
657023,497
657024,527
657025,83
657026,424
657027,543
657028,49
657029,110
657030,105
661001,1271
661002,480
661003,142
661004,379
661005,2075
661006,432
661007,115
661008,232
661009,118
661010,92
665001,685
665002,86
665003,74
665004,146
665005,93
665006,100
665007,298
665008,194
671001,839
671002,386
671003,147
671004,116
671005,134
671006,97
671007,183
706001,1140
706002,273
706003,119
706004,336
706005,459
706006,1099
706007,257
706008,733
707001,1193
707002,0
707003,118
707004,502
707005,309
707006,138
707007,234
707008,304
707009,406
707010,180
710001,970
710002,137
710003,96
710004,690
710005,67
710006,666
710007,525
710008,88
710009,356
710010,203
710011,112
710012,113
710013,88
710014,50
727001,1373
727002,4
727003,103
727004,63
727005,151
727006,48
727007,65
727008,64
727009,0
727010,0
730001,253
730002,324
730004,22
730005,108
730006,90
730007,126
730008,149
730009,68
730010,86
730011,617.85
730012,221
730013,607
730014,215
730015,34
730016,62
730017,98
730021,186
730024,116.15
730025,26
730026,482
730027,123
730028,226
730029,506
730030,288
730031,430
730032,134
730033,232
730034,1083
730036,374
730037,39
740001,249
740002,280
740003,183
740004,130
740005,129
740006,1501
740007,494
740008,95
740009,29
740010,153
740011,118
740012,54
740013,419
740014,23
740015,78
740016,183
740017,77
740018,162
740021,258
740022,175
740023,281
740024,145
740025,10
740026,4
740027,492
740028,287
740029,340
740030,534
740031,497
740032,281
741001,124
741002,23
746001,87
746002,787
746003,161
746004,763
746005,213
746006,733
746007,456
746008,827
746009,245
746010,409
746011,82
746012,198
751001,34
751002,0
751003,1389
751004,146
751006,1196
751007,153
751008,893
751009,1022
751010,252.32
751011,397
751012,727
751013,539
751014,81.08
751016,41
751018,1458
751019,731
751020,189.60
751021,432.00
751022,113
751023,501
751024,531
751025,53
751026,1338
751027,14
751028,816
751030,263
751031,22
751033,309
751041,7
751042,141
751043,612
751044,158
751045,696
751047,1686
751048,567
751049,429
751050,374
751051,452
751053,466
751055,11
751056,251
751061,2929
751062,0
751063,1626
751064,176
751065,2060
751066,1452
751067,55
751068,1
756001,223
756002,54
756003,296
756004,70
756005,650
756006,66
756007,2069
756008,90
756009,459
756010,432
760001,480.34
760002,140
760004,77.21
760007,102.46
760010,569
760012,116
760014,1227
760016,141
760021,193
760022,158
760024,974
760025,85
760027,108
760028,75
760030,505
760032,99
760033,200
760035,267
766001,1138
766002,441
766003,179
766004,142
766005,65
766006,74
766007,469
766010,86
766011,63
766012,242
766013,75
766014,27
766015,124
766017,178
766020,180
766021,306
766022,153
766023,69
766024,46
773001,58
773002,294.04
773003,158.85
773004,70
773005,1082.11
779020,68
779021,1735
779022,294
779023,297
779024,255
779025,374
779026,272
779027,215
787001,1155.96
787002,249.12
787003,292.67
787004,509.80
787005,157.07
787006,90
787007,125.57
787008,83.77
787009,176.98
787010,128
787011,93.68
787012,175.98
787013,94.40
787014,148
787015,123
791001,284
791002,208
791003,229
791004,242
791005,138
791006,334
791007,142
791008,1359
791009,1116
791011,113
791012,385
791013,2057
791014,280
791015,299
791016,316
791017,319
810001,47
810002,107
810003,456
810004,68
810005,482
810006,113
810010,1239
810034,38
810040,57
810050,133
810056,31
810070,125
810080,61
813001,1005
813002,187
813003,81
813004,126
813005,424
813006,2897
813007,209
813008,278
813009,1155
813010,42
813011,46
813012,38
813013,129
813014,41
813015,196
820001,527
820002,412
820003,26
820004,1317
820005,106
820006,48
820007,130
820008,143
820009,103
820010,386
820011,82
820012,39
820013,21
820014,28
825015,149
840001,979
840002,427
840003,144
840004,253
840005,261
840006,107
840007,176
840008,84
840009,37
840010,68
840011,11
846002,121
846003,354
846004,446
846008,165
846009,151
846011,834
846014,64
846018,264
846020,306
846022,122
846027,1312
849001,489
849002,135
849003,90
849004,88
849005,85
849006,68
849007,19
849008,264
849009,62
849010,39
849011,49
849012,63
849013,670
849014,114
849015,24
849016,37
849018,810
849020,211
849021,90
851003,152.81
851004,119.19
851005,1314
851007,52
851009,300.56
851010,378.44
851011,962
851012,62.53
851014,89
851015,152
851016,166.47
851017,157
851018,450
851019,1177.28
851020,685.72
851022,300
851024,1238
851027,165.67
851028,43.69
851029,927.79
851030,276.75
851031,382
851032,297
851033,399
851034,1780.24
851035,1188
851036,587.86
851038,286
851040,2172
851043,554
851044,524
851046,125
851047,606
851052,123
851056,167
851058,271
851061,658
860001,196
860003,785
860004,283
860006,240
860007,133
860008,147
860011,270
860012,77
860013,74
860014,129
860015,920
860016,384
860018,659
860019,291
860020,52
860021,227
860022,490
860023,116
860026,49
860027,67
860028,109
