ValgstedId,Opførelsesår_Antal_boliger_1960-1969
101001,253
101002,503
101003,243
101005,724
101006,996
101007,1417
101008,580
101009,516
101010,245
101011,129
101012,81
101013,58
101014,515
101016,325
101017,206
101018,171
101019,598
101020,148
101021,565
101022,41
101023,60
101024,14
101025,224
101027,32
101028,200
101029,85
101030,500
101031,22
101032,746
101033,222
101034,102
101035,125
101036,193
101039,74
101040,67
101041,256
101042,37
101043,138
101044,1108
101046,908
101047,105
101048,179
101049,0
101050,37
101051,453
101052,29
101053,0
101054,1
101055,0
101056,164
101057,1361
101058,21
101059,347
147001,104
147002,108
147003,439
147004,590
147005,376
147006,975
147007,233
147008,0
151001,2112
151002,1937
151003,880.29
151004,351
151005,922
151006,2170
151008,217
151009,539.71
151010,118
153001,409
153002,448
153003,618
153004,1966
153005,372.41
153006,346.59
155001,399
155004,632
157001,198
157002,156
157003,101
157004,436
157005,70
157006,52
157007,79
157008,202
157009,139
157010,229
159001,867.44
159002,856
159003,756
159004,2110
159005,757
159006,510
159007,155
159008,340
159009,1604.56
161001,140
161002,159
161003,796
161004,1261
161005,143
161006,108
163001,523
163002,1231
163003,282
165001,670
165002,1102
165003,251
165004,1975
165005,904
167001,769
167002,558
167003,757
167004,663
167005,677
167006,1638
167007,1148
167008,136
169001,966
169002,836
169004,701
169006,10
169007,1920
169008,0
169009,197
169010,103.74
169012,661
169013,25
169014,63.26
173001,219
173002,147
173003,932
173004,69
173005,20
173006,265
173007,234
173008,340
173009,581
175001,137
175002,606
175003,464
175004,1880
175005,728
175006,737
175007,0
183001,118
183002,44
183003,38
183004,2.93
183005,412.07
185001,273
185002,938
185003,1541
185004,181
185005,120
185006,565
187001,1029
187002,570
187003,740
190001,1786
190002,421
190003,309
190004,20
190005,224
190006,798
190007,566
201001,437
201002,783
201003,359
201004,547
201005,101
210001,532
210002,206
210003,641
210004,352
210005,191
210007,248
210008,71
210009,196
217001,842.28
217002,1117
217003,1106
217004,387
217005,337
217006,91
217007,149
217008,83
217009,138
217010,537
217011,1190
217012,253.72
219001,366
219002,1067
219003,54
219004,98
219005,318
219006,381
219007,174
219008,84
219009,688
219010,565
219011,130
219012,163
219013,119
219014,146
223001,1198
223002,793
223003,184
223004,23
223005,1233
230001,758
230003,233
230004,708
230005,854
230006,416
230007,950
230008,516
230009,515
230010,626
240001,86
240002,369
240003,954.51
240004,35
240005,307
240006,111
240007,934.72
240008,323.20
240009,106.57
250001,703
250002,376
250003,631
250004,436
250005,869
250006,534
253001,133.58
253002,1936.97
253003,712.45
253004,969
253005,477
259001,338
259002,1894.66
259003,443.15
259004,406
259005,391
259006,456
259007,111.85
259008,52.34
259009,94
259010,48
259011,322
260001,735
260002,334
260003,438.97
260004,738.03
260005,247
265001,319
265002,1122
265003,389
265004,955
265005,1647
265006,665
265007,585
265008,124
265009,115
265010,982
265011,285
265013,592
265014,135
265015,197
265016,181
265017,360
265018,87
265021,2
269001,271
269004,448
269005,512
270001,472
270002,227
270003,8
270004,262
270005,306
270006,392
270007,138
270008,479
270009,63
