ValgstedId,Ejerforhold_Antal_boliger_01. Ejerbolig,Ejerforhold_Antal_boliger_02. Andelsbolig,Ejerforhold_Antal_boliger_03. Almennyttig bolig,Ejerforhold_Antal_boliger_04. Lejer i offentligt ejet,Ejerforhold_Antal_boliger_05. Privat lejerbolig,Ejerforhold_Antal_boliger_06. Øvrige beboede boliger
851005,1924,72,2611,82,356,599
851007,904,51,143,1,123,67
851009,923.36,38.51,157.14,7.08,92.96,102.25
851010,1162.64,48.49,197.86,8.92,117.04,128.75
851011,1924,207,520,83,239,321
851012,308.27,28.67,418.04,50.51,472.37,1056.70
851014,316,147,1358,26,352,774
851015,518,129,713,1,1151,2542
851016,820.73,76.33,1112.96,134.49,1257.63,2813.30
851017,1935,85,1255,2,523,377
851018,1375,72,869,13,101,285
851019,2189.63,307.12,690.70,17.06,124.49,464.47
851020,1275.37,178.88,402.30,9.94,72.51,270.53
851022,1809,115,15,0,151,111
851024,1999,242,601,99,115,147
851027,652.71,188.65,2302.44,27.01,766.91,1381.47
851028,391.16,190.38,1681.68,28.61,720.42,1312.36
851029,1239.87,224.41,1951.23,27.33,183.85,1376.98
851030,686.12,20.18,1802.50,0,252.25,343.06
851031,1838,44,1267,92,297,236
851032,982,230,367,6,86,241
851033,1430,162,133,0,102,93
851034,1970.35,241.02,394.55,31.82,124.09,101.82
851035,1764,245,255,11,153,81
851036,783.80,141.36,1221.61,17.23,115.48,861.31
851038,1094,36,49,2,80,43
851040,568,89,3028,0,14,718
851043,1839,47,193,54,235,128
851044,1458,112,167,24,373,201
851046,472,0,34,0,114,32
851047,1919,161,408,3,307,197
851052,719,0,30,1,146,37
851056,635,18,58,27,139,86
851058,852,20,58,41,184,57
851061,1574,127,126,56,182,91
860001,662,0,15,0,66,27
860003,1540,69,697,48,473,169
860004,962,114,1147,80,815,859
860006,647,28,0,11,100,13
860007,539,0,59,18,119,67
860008,604,0,31,30,119,18
860011,1057,44,92,48,253,72
860012,618,13,11,10,117,19
860013,611,7,25,6,71,10
860014,593,12,17,1,118,24
860015,1826,278,414,1,242,198
860016,2101,42,332,124,361,136
860018,1551,161,1038,40,161,146
860019,1229,69,170,52,303,140
860020,408,0,8,0,71,17
860021,939,34,82,38,214,120
860022,1015,62,155,70,298,126
860023,386,16,12,0,74,17
860026,416,0,18,16,86,38
860027,366,0,0,0,59,14
860028,523,0,12,0,115,24
