ValgstedId,Opførelsesår_Antal_boliger_2010-9999
101001,40
101002,72
101003,0
101005,90
101006,85
101007,311
101008,336
101009,4574
101010,953
101011,22
101012,0
101013,756
101014,11
101016,863
101017,196
101018,29
101019,792
101020,14
101021,167
101022,10
101023,8
101024,0
101025,62
101027,404
101028,21
101029,16
101030,230
101031,26
101032,0
101033,209
101034,139
101035,43
101036,82
101039,197
101040,105
101041,112
101042,24
101043,170
101044,1132
101046,77
101047,835
101048,1401
101049,0
101050,0
101051,101
101052,49
101053,505
101054,1
101055,3810
101056,1178
101057,762
101058,139
101059,52
147001,0
147002,33
147003,120
147004,354
147005,301
147006,262
147007,48
147008,21
151001,17
151002,87
151003,11.42
151004,93
151005,85
151006,67
151008,289
151009,70.58
151010,31
153001,30
153002,7
153003,18
153004,56
153005,28.49
153006,26.51
155001,132
155004,218
157001,108
157002,36
157003,22
157004,84
157005,78
157006,11
157007,57
157008,31
157009,38
157010,165
159001,354.47
159002,91
159003,155
159004,33
159005,395
159006,53
159007,116
159008,113
159009,28.53
161001,24
161002,29
161003,60
161004,45
161005,19
161006,189
163001,598
163002,108
163003,242
165001,7
165002,9
165003,101
165004,91
165005,118
167001,42
167002,33
167003,21
167004,72
167005,90
167006,46
167007,282
167008,23
169001,0
169002,82
169004,24
169006,96
169007,189
169008,83
169009,56
169010,109.95
169012,12
169013,21
169014,67.05
173001,116
173002,466
173003,149
173004,290
173005,9
173006,161
173007,73
173008,113
173009,117
175001,22
175002,112
175003,23
175004,8
175005,602
175006,306
175007,0
183001,73
183002,1
183003,6
183004,204.15
183005,144.85
185001,80
185002,141
185003,62
185004,93
185005,44
185006,43
187001,305
187002,78
187003,99
190001,118
190002,61
190003,143
190004,85
190005,40
190006,442
190007,13
201001,213
201002,186
201003,94
201004,120
201005,339
210001,184
210002,49
210003,45
210004,118
210005,108
210007,77
210008,8
210009,27
217001,145.25
217002,68
217003,56
217004,135
217005,101
217006,9
217007,26
217008,31
217009,29
217010,76
217011,35
217012,43.75
219001,546
219002,26
219003,2
219004,16
219005,15
219006,455
219007,38
219008,26
219009,65
219010,138
219011,3
219012,41
219013,32
219014,13
223001,72
223002,65
223003,88
223004,5
223005,173
230001,166
230003,149
230004,172
230005,161
230006,56
230007,145
230008,79
230009,50
230010,252
240001,23
240002,316
240003,54.69
240004,23
240005,40
240006,13
240007,224.35
240008,7.65
240009,401.32
250001,297
250002,30
250003,309
250004,50
250005,224
250006,107
253001,64.90
253002,157.20
253003,40.90
253004,380
253005,400
259001,379
259002,163.55
259003,55.40
259004,198
259005,361
259006,124
259007,165.60
259008,8.45
259009,96
259010,2
259011,197
260001,112
260002,42
260003,25.25
260004,173.75
260005,42
265001,21
265002,72
265003,44
265004,33
265005,250
265006,166
265007,29
265008,130
265009,16
265010,112
265011,93
265013,250
265014,150
265015,3
265016,37
265017,67
265018,1
265021,840
269001,161
269004,484
269005,115
270001,30
270002,40
270003,3
270004,34
270005,47
270006,208
270007,14
270008,202
270009,3
270010,38
270011,31
270012,28
306001,97
306002,20
306003,19
306004,39
306005,17
306006,15
306007,40
306008,14
306010,14
306011,40
306012,11
306013,6
316001,373
316002,298
316003,341
316004,7
316005,158
316006,61
316007,133
316008,12
316009,32
316010,22
316011,155
316012,56
316013,24
316014,87
316015,13
320001,191
320002,144
320003,76
320004,69
320005,125
320006,85
320007,39
326001,25
326002,3
326003,29
326004,8
326005,15
326006,10
326007,11
326008,10
326009,64
326010,8
326011,3
326012,33
326013,9
326014,5
326015,20
326016,27
326017,4
326018,47
329001,212
329002,2
329003,6
329004,247
329005,22
329006,43
329008,25
329009,5
329010,6
329011,10
329012,10
329013,18
329014,3
330001,17
330003,61
330004,17
330005,29
330006,54
330007,36
330008,55
330009,22
330010,6
330011,76
330012,0
330013,10
330017,0
330019,110
330021,101
330022,326
330024,8
330025,47
336001,106
336002,316
336003,73
336004,111
340001,99
340002,3
340004,11
340005,9
340006,117
340008,102
340010,32
350001,115
350002,26
350003,14
350004,1
350005,10
350006,200
350008,7
350009,21
350011,129
350012,37
360001,2
360003,19
360008,5
360011,5.80
360013,50
360014,0
360019,5
360020,138
360021,32.07
360026,5.13
360027,0
360028,0
360029,4
360035,13
360036,3
360037,3
370001,52
370002,3
370003,5
370004,85
370005,4
370006,18
370007,6
370008,197
370009,41
370010,20
370011,30
370012,2
370014,69
370020,98
370021,37
370022,294
370023,43
370024,63
370026,25
370027,213
370028,18
370029,13
370031,13
370032,43
376001,71
376002,2
376003,6
376004,5
376005,42
376006,2
376007,25
376008,7
376009,4
376010,11
376011,9
376012,3
376013,19
376014,4
376015,3
376016,9
376017,7
376018,5
376019,25
376020,5
390001,39
390002,12
390003,39
390004,13
390005,5
390006,31
390007,11
390008,30
390009,6
390010,4
390011,13
390012,28
390013,4
390014,5
390015,15
390016,10
390017,8
400001,8
400002,6
400003,15
400004,16
400005,11
400006,13
400007,6
400008,219
400009,3
410001,204
410002,202
410003,126
410004,262
410005,136
410006,72
410007,13
410008,58
410009,16
