ValgstedId,Opførelsesår_Antal_personer_1940-1959,Opførelsesår_Antal_personer_1960-1969,Opførelsesår_Antal_personer_1970-1979,Opførelsesår_Antal_personer_1980-1989,Opførelsesår_Antal_personer_1990-1999,Opførelsesår_Antal_personer_2000-2009,Opførelsesår_Antal_personer_2010-9999,Opførelsesår_Antal_personer_Før 1940
173008,4691,639,99,949,136,108,259,1776
173009,2933,1145,627,309,429,114,180,768
175001,775,223,220,343,199,66,87,2384
175002,3005,1139,220,108,90,267,243,744
175003,3265,858,154,649,748,155,92,1982
175004,1041,3306,150,654,51,114,26,257
175005,3314,1558,768,140,32,8,1518,607
175006,2530,1921,565,291,150,84,946,442
175007,2163,0,0,0,0,0,0,0
183001,146,302,164,209,82,235,244,550
183002,0,119,3557,255,13,5,5,2
183003,9,129,5286,273,38,17,20,38
183004,0,6.84,4817.58,38.10,0,183.64,417.09,98.66
183005,342,998.16,3052.42,439.90,126,325.36,316.91,128.34
185001,283,742,3057,947,344,713,281,164
185002,1383,2539,1835,361,184,221,518,460
185003,1833,2803,806,61,22,380,195,574
185004,2805,334,33,64,446,265,163,1683
185005,2712,306,483,286,57,78,207,1318
185006,6585,1031,454,1132,248,148,91,1354
187001,269,2323,339,390,73,1566,875,210
187002,359,1331,1736,430,189,152,242,148
187003,0,1872,2203,11,495,1027,392,1
190001,2046,3994,2105,434,131,268,395,437
190002,732,1224,421,288,71,138,211,669
190003,145,874,656,641,594,1203,455,443
190004,93,59,548,226,137,26,224,130
190005,45,601,2835,1258,461,164,131,100
190006,1099,2198,547,344,760,1660,1196,855
190007,746,1125,4165,50,282,61,53,211
201001,300,1083,743,28,129,74,634,327
201002,501,1744,1068,108,639,248,485,460
201003,683,959,2423,198,357,319,203,479
201004,309,1445,835,482,475,478,289,1026
201005,371,257,1891,1376,337,520,1056,294
210001,459,1111,978,1006,507,803,542,1163
210002,278,452,1310,315,319,106,135,1579
210003,1160,1107,708,334,120,110,125,1191
210004,174,774,1810,991,104,499,309,440
210005,326,389,7672,536,52,704,295,301
210007,70,609,2018,741,318,292,218,95
210008,122,209,88,51,62,26,21,595
210009,94,398,1699,1106,360,126,39,214
217001,1274.94,1439.40,611.73,273.59,295.10,318.16,275.12,4967.58
217002,3807,2480,1475,538,265,531,110,1203
217003,1144,2360,2792,228,167,410,99,982
217004,435,811,1341,721,544,501,257,1001
217005,756,794,892,512,205,405,256,1346
217006,196,235,96,34,51,69,25,652
217007,161,377,155,74,59,122,68,720
217008,115,186,124,52,22,316,109,307
217009,282,339,1812,717,153,383,83,1174
217010,748,1152,732,312,198,187,253,1375
217011,399,2637,1613,396,841,406,94,412
217012,384.06,433.60,184.27,82.41,88.90,95.84,82.88,1496.42
219001,1208,666,1016,884,334,770,1024,3637
219002,834,2406,1044,46,379,286,71,1282
219003,38,152,126,26,79,181,5,288
219004,213,242,447,291,25,19,49,263
219005,70,838,486,100,184,211,40,480
219006,177,1066,512,200,920,2022,1284,202
219007,91,446,525,90,306,174,199,246
219008,110,220,238,106,45,62,92,275
219009,565,1415,983,608,244,69,170,347
219010,1149,1133,2629,465,468,526,190,718
219011,75,339,621,190,21,316,20,501
219012,336,459,491,316,269,849,119,1316
219013,219,328,180,103,47,274,110,273
219014,3,414,232,208,36,116,41,312
223001,990,1978,377,436,568,678,228,984
223002,927,1859,1803,598,280,283,185,609
223003,679,481,679,409,295,167,251,1679
223004,44,57,10,16,4,31,12,243
223005,385,2679,1197,1564,191,286,305,417
230001,1262,1721,2371,461,141,498,344,298
230003,1911,538,940,252,165,172,350,2598
230004,2205,1208,621,586,216,132,303,388
230005,1633,2039,644,405,572,727,484,1188
230006,656,1124,722,197,103,34,199,554
230007,2457,2163,1418,585,283,168,336,974
230008,1063,1169,1741,705,187,54,192,495
230009,1148,784,577,356,83,107,179,700
230010,836,1366,1378,471,441,251,714,2385
240001,118,197,219,34,63,74,36,365
240002,122,1054,4273,1657,1160,930,912,407
240003,337.06,2549.33,1971.65,195.87,179.96,414.61,151.13,776.53
240004,47,109,97,1148,93,77,61,336
240005,156,778,1315,231,212,192,96,580
240006,103,266,596,43,37,142,41,303
240007,107.48,2586.72,2162.75,247.21,239.16,775.99,452.09,661.58
240008,54.50,872.07,2826.58,970.56,837.65,394.92,23.91,188.38
240009,37.95,244.88,867.01,480.36,426.23,1493.48,959.88,186.51
250001,1158,1487,591,866,598,952,467,1467
250002,274,962,1831,1323,434,724,98,574
250003,409,1634,1937,679,84,402,779,785
250004,869,1026,1372,727,322,1032,112,2781
250005,623,1822,1502,894,327,1016,549,1594
250006,376,1396,2269,758,623,1175,263,1280
253001,208.44,304.27,4283.10,800.59,873.14,289.94,148.23,266.64
253002,775.24,5120.14,5755.84,3700.48,2274.69,748.53,411.78,1084.56
253003,264.32,1804.59,3153.06,1092.93,274.17,181.53,123.99,237.79
253004,472,2534,2613,860,297,769,925,657
253005,172,1288,2167,1114,228,284,1234,766
259001,2298,756,1361,224,187,301,746,4066
259002,476.65,3725.42,856.28,527.46,134.31,168.91,339.66,40.42
259003,616.64,1100.02,1986.27,1188.39,316.11,1354.81,129.92,1015.19
259004,401,1095,2121,47,24,373,430,280
259005,270,984,1563,678,971,205,918,443
259006,562,1165,1182,2461,216,640,370,1756
259007,105.36,287.98,1129.73,482.61,283.89,597.19,478.08,694.81
259008,114.35,136.58,1182.72,393.54,79.69,214.09,25.34,416.58
259009,149,218,1058,524,150,656,235,702
259010,76,107,297,29,17,116,6,658
259011,285,757,1156,616,316,1365,470,1323
260001,1160,1552,2218,1049,539,1013,224,1818
260002,505,706,875,471,163,351,103,766
260003,703.13,1053.72,578.82,453.54,119.45,601.16,89.35,547.74
260004,2321.87,1602.28,2470.18,458.46,396.55,903.84,411.65,2039.26
260005,289,541,669,351,88,553,96,533
265001,196,497,173,492,184,44,43,3894
265002,2077,2074,321,331,12,47,239,779
265003,2086,813,986,891,739,242,139,2140
265004,1091,1736,496,147,213,57,82,1207
265005,1212,3150,846,77,173,428,425,1198
265006,410,1776,1466,1403,1225,339,408,743
265007,230,1465,1182,913,68,285,89,159
265008,95,333,678,331,264,160,455,400
265009,102,303,299,20,33,21,52,416
265010,1428,1756,1708,93,507,1106,299,601
265011,232,739,278,606,286,176,293,937
265013,165,1433,1344,476,961,1246,736,417
265014,56,350,971,424,92,141,467,545
265015,54,493,1556,970,135,183,8,66
265016,88,493,797,168,53,173,131,515
265017,183,906,1807,675,354,486,159,1577
265018,40,222,100,206,45,61,5,441
265021,41,6,2,0,208,3065,2134,339
269001,266,723,1112,730,296,510,471,808
269004,399,1185,2961,714,344,335,1248,1037
269005,461,1370,3228,2270,939,782,349,717
270001,254,955,1656,394,188,334,74,729
270002,236,492,659,226,167,196,98,1039
270003,13,18,39,31,8,25,13,441
270004,296,656,1103,678,200,490,109,1539
270005,41,770,749,99,109,47,132,390
270006,564,853,1125,1055,385,956,364,1390
270007,178,278,212,101,50,70,38,609
270008,435,1165,2320,961,378,1149,402,1465
270009,50,144,135,46,15,44,10,583
270010,137,807,811,139,76,448,102,542
270011,178,514,723,300,87,200,48,829
270012,289,289,296,151,61,101,59,638
306001,277,415,985,302,171,646,176,1066
306002,404,807,817,380,142,211,36,1091
306003,146,315,486,180,60,46,40,1233
306004,355,283,585,250,160,267,90,1483
306005,92,213,285,87,44,103,27,449
306006,265,421,408,177,96,342,60,1424
306007,1163,846,942,580,242,703,96,1551
306008,193,198,261,152,118,174,32,433
306010,135,208,145,110,43,68,35,739
306011,346,495,698,351,114,394,80,1148
306012,55,79,68,34,10,31,21,373
306013,33,183,214,29,16,38,8,574
316001,1118,2659,2647,563,138,1582,929,1219
316002,879,1015,2289,1565,1025,1365,583,1361
316003,838,704,22,236,241,614,555,2787
316004,283,505,1402,339,209,118,23,1151
316005,326,687,1207,284,243,407,453,1052
316006,143,309,379,146,88,154,113,904
316007,436,537,690,620,237,787,238,1493
316008,299,415,556,198,99,126,41,1760
316009,290,495,588,339,146,698,112,1558
316010,236,341,615,232,57,302,69,1478
316011,433,589,1157,447,116,514,256,1634
316012,493,462,738,216,45,194,182,2010
316013,463,529,632,264,131,425,75,1113
316014,251,330,423,275,86,405,222,1533
316015,33,190,151,81,38,61,22,375
320001,673,969,1586,491,186,851,545,2283
320002,813,875,1840,875,434,781,227,2835
320003,362,661,855,520,340,366,212,1599
320004,260,372,491,356,221,365,129,1784
320005,190,291,537,321,111,504,316,1845
320006,123,198,636,533,197,359,240,1372
320007,190,463,691,292,170,440,110,1290
326001,250,255,445,341,122,554,60,1463
326002,25,17,37,34,9,21,6,193
326003,425,414,904,345,110,386,74,1775
326004,209,277,577,363,70,312,21,1205
326005,128,145,235,75,34,113,36,1008
326006,56,84,82,57,26,38,26,235
326007,76,229,128,76,46,99,26,495
326008,189,256,665,216,66,157,40,1592
326009,465,540,1096,599,158,705,123,1255
326010,129,140,99,82,35,88,24,1192
326011,80,86,40,21,9,79,7,1097
326012,690,497,608,180,54,75,59,1837
326013,858,346,144,129,32,391,23,1530
326014,108,218,142,41,39,197,18,915
326015,361,695,793,232,47,275,49,1045
326016,306,924,1156,332,112,584,74,925
326017,84,128,138,20,31,82,7,301
326018,339,1132,1179,756,275,536,74,131
329001,706,998,1338,1240,732,2830,592,3075
329002,53,64,36,15,6,26,8,653
329003,61,43,43,49,29,128,25,449
329004,248,896,1963,562,83,593,685,820
329005,120,67,58,18,13,60,73,926
329006,1540,2232,443,698,155,16,94,1027
329008,140,196,61,110,68,160,78,713
329009,136,149,287,55,22,74,17,490
329010,62,216,308,18,31,188,19,532
329011,60,50,15,71,42,36,31,411
329012,44,65,200,22,49,92,31,609
329013,235,148,339,89,19,84,49,451
329014,109,87,121,51,38,58,8,419
330001,148,208,485,218,109,158,45,1938
330003,105,63,49,59,140,399,207,771
330004,100,95,510,200,52,193,54,625
330005,1501,1079,1746,617,238,324,78,2034
330006,1192,1625,825,501,242,600,120,2127
330007,217,578,621,248,35,183,59,421
330008,284,437,641,300,65,540,111,1149
330009,587,1282,2393,1043,381,541,87,825
330010,112,124,193,126,61,108,13,918
330011,551,1411,1541,833,487,856,180,2754
330012,0,0,0,0,0,0,0,0
330013,94,93,164,110,40,88,26,784
330017,0,0,0,0,0,0,0,0
330019,2273,1251,1925,1461,611,218,170,5164
330021,1073,1067,1488,474,177,269,276,1611
330022,531,2402,732,869,673,855,653,1974
330024,124,160,72,19,17,33,24,882
330025,246,416,476,117,153,367,117,1178
336001,252,622,828,624,221,423,256,2584
336002,406,1390,1484,428,331,620,823,1750
336003,400,620,602,453,324,323,151,3057
336004,237,388,281,241,123,271,285,2007
340001,570,643,1295,402,172,730,162,1835
340002,145,205,430,126,18,410,4,775
340004,156,180,304,92,36,119,37,920
340005,833,813,463,341,370,165,22,2423
340006,454,515,914,320,283,474,333,1836
340008,274,369,390,421,118,940,243,1417
340010,481,468,570,587,200,367,86,2625
350001,263,569,594,354,230,850,352,1023
350002,77,494,867,193,95,255,66,567
350003,94,223,432,185,89,67,26,473
350004,48,62,858,124,30,80,5,252
350005,120,299,124,33,40,120,40,525
350006,308,550,1147,416,334,659,570,976
350008,164,411,895,254,216,153,16,807
350009,165,516,713,153,65,349,69,824
350011,164,154,638,326,317,321,340,598
350012,369,679,739,95,68,203,74,983
360001,39,16,93,43,3,6,4,524
360003,248,213,422,205,9,50,26,1298
360008,59,44,111,38,5,6,14,641
360011,199.69,232.49,392.53,222.65,86.79,34.63,9.54,1139.58
360013,855,992,844,504,214,498,91,2851
360014,0,0,0,0,0,0,0,0
360019,333,329,199,195,56,29,12,1980
360020,1283,1223,810,848,190,173,233,3969
360021,1171.45,614.97,954.52,83.00,14.15,171.66,63.19,1900.55
360026,22.85,40.55,49.96,7.34,12.06,2.71,12.26,325.88
360027,58,14,50,28,7,7,0,296
360028,0,0,0,0,0,0,0,0
