ValgstedId,Opførelsesår_Antal_personer_1990-1999
101001,1172
101002,6
101003,68
101005,122
101006,281
101007,109
101008,784
101009,64
101010,131
101011,115
101012,30
101013,399
101014,88
101016,263
101017,577
101018,203
101019,217
101020,156
101021,898
101022,97
101023,362
101024,484
101025,0
101027,314
101028,106
101029,2
101030,33
101031,10
101032,578
101033,120
101034,17
101035,1095
101036,113
101039,73
101040,118
101041,331
101042,1094
101043,213
101044,240
101046,142
101047,120
101048,49
101049,0
101050,16
101051,352
101052,509
101053,114
101054,0
101055,0
101056,497
101057,421
101058,620
101059,245
147001,246
147002,147
147003,182
147004,444
147005,377
147006,20
147007,768
147008,28
151001,23
151002,61
151003,36.16
151004,109
151005,17
151006,203
151008,416
151009,1059.84
151010,488
153001,16
153002,246
153003,18
153004,46
153005,192.16
153006,178.84
155001,158
155004,490
157001,130
157002,7
157003,357
157004,82
157005,43
157006,29
157007,287
157008,294
157009,124
157010,100
159001,75.89
159002,79
159003,961
159004,38
159005,210
159006,67
159007,187
159008,54
159009,32.11
161001,13
161002,132
161003,229
161004,0
161005,41
161006,730
163001,99
163002,170
163003,613
165001,76
165002,5
165003,62
165004,0
165005,267
167001,131
167002,70
167003,41
167004,43
167005,66
167006,101
167007,441
167008,60
169001,9
169002,80
169004,27
169006,103
169007,20
169008,2127
169009,76
169010,61.50
169012,68
169013,121
169014,37.50
173001,434
173002,172
173003,152
173004,61
173005,42
173006,196
173007,8
173008,136
173009,429
175001,199
175002,90
175003,748
175004,51
175005,32
175006,150
175007,0
183001,82
183002,13
183003,38
183004,0
183005,126
185001,344
185002,184
185003,22
185004,446
185005,57
185006,248
187001,73
187002,189
187003,495
190001,131
190002,71
190003,594
190004,137
190005,461
190006,760
190007,282
201001,129
201002,639
201003,357
201004,475
201005,337
210001,507
210002,319
210003,120
210004,104
210005,52
210007,318
210008,62
210009,360
217001,295.10
217002,265
217003,167
217004,544
217005,205
217006,51
217007,59
217008,22
217009,153
217010,198
217011,841
217012,88.90
219001,334
219002,379
219003,79
219004,25
219005,184
219006,920
219007,306
219008,45
219009,244
219010,468
219011,21
219012,269
219013,47
219014,36
223001,568
223002,280
223003,295
223004,4
223005,191
230001,141
230003,165
230004,216
230005,572
230006,103
230007,283
230008,187
230009,83
230010,441
240001,63
240002,1160
240003,179.96
240004,93
240005,212
240006,37
240007,239.16
240008,837.65
240009,426.23
250001,598
250002,434
250003,84
250004,322
250005,327
250006,623
253001,873.14
253002,2274.69
253003,274.17
253004,297
253005,228
259001,187
259002,134.31
259003,316.11
259004,24
259005,971
259006,216
259007,283.89
259008,79.69
259009,150
259010,17
259011,316
260001,539
260002,163
260003,119.45
260004,396.55
260005,88
265001,184
265002,12
265003,739
265004,213
265005,173
265006,1225
265007,68
265008,264
265009,33
265010,507
265011,286
265013,961
265014,92
265015,135
265016,53
265017,354
265018,45
265021,208
269001,296
269004,344
269005,939
270001,188
270002,167
270003,8
270004,200
270005,109
270006,385
270007,50
270008,378
270009,15
270010,76
270011,87
270012,61
306001,171
306002,142
306003,60
306004,160
306005,44
306006,96
306007,242
306008,118
306010,43
306011,114
306012,10
306013,16
316001,138
316002,1025
316003,241
316004,209
316005,243
316006,88
316007,237
316008,99
316009,146
316010,57
316011,116
316012,45
316013,131
316014,86
316015,38
320001,186
320002,434
320003,340
320004,221
320005,111
320006,197
320007,170
326001,122
326002,9
326003,110
326004,70
326005,34
326006,26
326007,46
326008,66
326009,158
326010,35
326011,9
326012,54
326013,32
326014,39
326015,47
326016,112
326017,31
326018,275
329001,732
329002,6
329003,29
329004,83
329005,13
329006,155
329008,68
329009,22
329010,31
329011,42
329012,49
329013,19
329014,38
330001,109
330003,140
330004,52
330005,238
330006,242
330007,35
330008,65
330009,381
330010,61
330011,487
330012,0
330013,40
330017,0
330019,611
330021,177
330022,673
330024,17
330025,153
336001,221
336002,331
336003,324
336004,123
340001,172
340002,18
340004,36
340005,370
340006,283
340008,118
340010,200
350001,230
350002,95
350003,89
350004,30
350005,40
350006,334
350008,216
350009,65
350011,317
350012,68
360001,3
360003,9
360008,5
360011,86.79
360013,214
360014,0
360019,56
360020,190
360021,14.15
360026,12.06
360027,7
360028,0
360029,29
360035,14
360036,7
360037,40
370001,278
370002,20
370003,19
370004,69
370005,19
370006,38
370007,94
370008,353
370009,30
370010,48
370011,118
370012,4
370014,113
370020,55
370021,199
370022,435
370023,330
370024,219
370026,11
370027,629
370028,244
370029,10
370031,44
370032,111
376001,268
376002,34
376003,58
376004,320
376005,2
376006,12
376007,61
376008,20
376009,6
376010,36
376011,18
376012,15
376013,215
376014,15
376015,14
376016,62
376017,17
376018,39
376019,137
376020,7
390001,249
390002,154
390003,125
390004,67
390005,18
390006,54
390007,16
390008,149
390009,47
390010,76
390011,39
390012,190
390013,27
390014,20
390015,67
390016,67
390017,103
400001,68
400002,75
400003,23
400004,97
400005,9
400006,118
400007,17
400008,432
400009,8
410001,202
410002,558
410003,420
410004,106
410005,22
410006,145
410007,112
410008,160
410009,63
410010,61
410011,39
411001,0
420001,224
420002,23
420003,8
420004,21
420005,251
420006,10
420007,38
420008,137
420009,6
420010,17
420011,334
420012,11
420013,198
420014,14
420015,68
420016,151
420017,161
420018,80
430001,50
430002,26
430003,103
430004,29
430005,0
430007,297
430008,19
430009,66
430010,0
430011,77
430012,58
430013,36
430014,24
430015,312
430016,25
430017,51
430018,103
430019,103
430020,119
430021,108
430022,218
440001,57
440002,446
440003,36
440004,105
440005,251
440006,196
450001,25
450002,298
450003,200
450004,164
450005,9
450006,162
450007,17
450008,6
450009,12
450010,139
450011,42
450012,9
450013,28
461001,476
461002,303
461003,72
461004,3
461005,134
461006,77
461007,976
461009,554
461011,471
461012,52
461013,5
461014,306
461016,235
461017,235
461018,135
461019,708
461020,42
461021,105
461023,292
461024,14
461025,68
461026,278
461028,226
461029,101
461030,643
461031,51
