Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,KommuneKode,KommuneNavn,Regionskode,RegionNavn
,159007,15,2,1,159,Gladsaxe,1084,Region Hovedstaden
,159008,15,2,1,159,Gladsaxe,1084,Region Hovedstaden
,159009,15,2,1,159,Gladsaxe,1084,Region Hovedstaden
,161001,20,2,1,161,Glostrup,1084,Region Hovedstaden
,161002,20,2,1,161,Glostrup,1084,Region Hovedstaden
,161003,20,2,1,161,Glostrup,1084,Region Hovedstaden
,161004,20,2,1,161,Glostrup,1084,Region Hovedstaden
,161005,20,2,1,161,Glostrup,1084,Region Hovedstaden
,161006,20,2,1,161,Glostrup,1084,Region Hovedstaden
,163001,16,2,1,163,Herlev,1084,Region Hovedstaden
,163002,16,2,1,163,Herlev,1084,Region Hovedstaden
,163003,16,2,1,163,Herlev,1084,Region Hovedstaden
,165001,19,2,1,165,Albertslund,1084,Region Hovedstaden
,165002,19,2,1,165,Albertslund,1084,Region Hovedstaden
,165003,19,2,1,165,Albertslund,1084,Region Hovedstaden
,165004,19,2,1,165,Albertslund,1084,Region Hovedstaden
,165005,19,2,1,165,Albertslund,1084,Region Hovedstaden
,167001,17,2,1,167,Hvidovre,1084,Region Hovedstaden
,167002,17,2,1,167,Hvidovre,1084,Region Hovedstaden
,167003,17,2,1,167,Hvidovre,1084,Region Hovedstaden
,167004,17,2,1,167,Hvidovre,1084,Region Hovedstaden
,167005,17,2,1,167,Hvidovre,1084,Region Hovedstaden
,167006,17,2,1,167,Hvidovre,1084,Region Hovedstaden
,167007,17,2,1,167,Hvidovre,1084,Region Hovedstaden
,167008,17,2,1,167,Hvidovre,1084,Region Hovedstaden
,169001,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,169002,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,169004,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,169006,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,169007,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,169008,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,169009,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,169010,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,169012,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,169013,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,169014,19,2,1,169,Høje-Taastrup,1084,Region Hovedstaden
,173001,14,2,1,173,Lyngby-Taarbæk,1084,Region Hovedstaden
,173002,14,2,1,173,Lyngby-Taarbæk,1084,Region Hovedstaden
,173003,14,2,1,173,Lyngby-Taarbæk,1084,Region Hovedstaden
,173004,14,2,1,173,Lyngby-Taarbæk,1084,Region Hovedstaden
,173005,14,2,1,173,Lyngby-Taarbæk,1084,Region Hovedstaden
,173006,14,2,1,173,Lyngby-Taarbæk,1084,Region Hovedstaden
,173007,14,2,1,173,Lyngby-Taarbæk,1084,Region Hovedstaden
,173008,14,2,1,173,Lyngby-Taarbæk,1084,Region Hovedstaden
,173009,14,2,1,173,Lyngby-Taarbæk,1084,Region Hovedstaden
,175001,16,2,1,175,Rødovre,1084,Region Hovedstaden
,175002,16,2,1,175,Rødovre,1084,Region Hovedstaden
,175003,16,2,1,175,Rødovre,1084,Region Hovedstaden
,175004,16,2,1,175,Rødovre,1084,Region Hovedstaden
,175005,16,2,1,175,Rødovre,1084,Region Hovedstaden
,175006,16,2,1,175,Rødovre,1084,Region Hovedstaden
,175007,16,2,1,175,Rødovre,1084,Region Hovedstaden
,183001,18,2,1,183,Ishøj,1084,Region Hovedstaden
,183002,18,2,1,183,Ishøj,1084,Region Hovedstaden
,183003,18,2,1,183,Ishøj,1084,Region Hovedstaden
,183004,18,2,1,183,Ishøj,1084,Region Hovedstaden
,183005,18,2,1,183,Ishøj,1084,Region Hovedstaden
,185001,12,1,1,185,Tårnby,1084,Region Hovedstaden
,185002,12,1,1,185,Tårnby,1084,Region Hovedstaden
,185003,12,1,1,185,Tårnby,1084,Region Hovedstaden
,185004,12,1,1,185,Tårnby,1084,Region Hovedstaden
,185005,12,1,1,185,Tårnby,1084,Region Hovedstaden
,185006,12,1,1,185,Tårnby,1084,Region Hovedstaden
,187001,18,2,1,187,Vallensbæk,1084,Region Hovedstaden
,187002,18,2,1,187,Vallensbæk,1084,Region Hovedstaden
,187003,18,2,1,187,Vallensbæk,1084,Region Hovedstaden
,190001,25,3,1,190,Furesø,1084,Region Hovedstaden
,190002,25,3,1,190,Furesø,1084,Region Hovedstaden
,190003,25,3,1,190,Furesø,1084,Region Hovedstaden
,190004,25,3,1,190,Furesø,1084,Region Hovedstaden
,190005,25,3,1,190,Furesø,1084,Region Hovedstaden
,190006,25,3,1,190,Furesø,1084,Region Hovedstaden
,190007,25,3,1,190,Furesø,1084,Region Hovedstaden
,201001,26,3,1,201,Allerød,1084,Region Hovedstaden
,201002,26,3,1,201,Allerød,1084,Region Hovedstaden
,201003,26,3,1,201,Allerød,1084,Region Hovedstaden
,201004,26,3,1,201,Allerød,1084,Region Hovedstaden
,201005,26,3,1,201,Allerød,1084,Region Hovedstaden
,210001,22,3,1,210,Fredensborg,1084,Region Hovedstaden
,210002,22,3,1,210,Fredensborg,1084,Region Hovedstaden
,210003,22,3,1,210,Fredensborg,1084,Region Hovedstaden
,210004,22,3,1,210,Fredensborg,1084,Region Hovedstaden
,210005,22,3,1,210,Fredensborg,1084,Region Hovedstaden
,210007,22,3,1,210,Fredensborg,1084,Region Hovedstaden
,210008,22,3,1,210,Fredensborg,1084,Region Hovedstaden
,210009,22,3,1,210,Fredensborg,1084,Region Hovedstaden
,217001,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217002,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217003,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217004,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217005,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217006,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217007,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217008,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217009,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217010,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217011,21,3,1,217,Helsingør,1084,Region Hovedstaden
,217012,21,3,1,217,Helsingør,1084,Region Hovedstaden
,219001,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219002,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219003,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219004,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219005,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219006,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219007,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219008,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219009,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219010,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219011,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219012,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219013,23,3,1,219,Hillerød,1084,Region Hovedstaden
,219014,23,3,1,219,Hillerød,1084,Region Hovedstaden
,223001,22,3,1,223,Hørsholm,1084,Region Hovedstaden
,223002,22,3,1,223,Hørsholm,1084,Region Hovedstaden
