ValgstedId,Opførelsesår_Antal_boliger_1970-1979
482011,68.74
492001,204
492002,101
492003,59
510001,649.26
510002,406
510003,265.65
510004,67.44
510005,90.57
510006,105.88
510007,0
510008,81.12
510009,355
510010,106.88
510011,46.55
510012,92.02
510013,60.09
510014,134.43
510015,127
510016,65
510017,896.25
510018,137.85
510019,75
510020,323.14
510021,58.88
510022,25.98
530001,813
530002,187
530003,121
530004,58
530005,54
530006,1067
530007,155
540001,355
540002,244
540003,169
540004,202
540005,310
540006,391
540007,220
540008,19
540009,870
540010,1021
540011,120
540012,387
540013,351
540014,145
540015,359
540016,641
540017,61
550001,201
550002,38
550003,42
550004,118
550007,19
550008,66
550012,426
550014,66
550015,34
550016,60
550017,197
550018,53
550019,16
550021,26
550023,636
550024,62
550025,719
550027,84
550029,89
550051,62
550061,361
550071,42
561002,258
561003,27
561004,165
561005,666
561006,133
561007,406
561008,162
561011,777
561012,248
561015,952
561016,752
561017,157
561020,220
561021,1937
561022,548
561023,906
561024,218
561025,1177
561028,884
561032,197
561033,211
561035,0
561038,104
561040,284
563001,291
563002,31
573001,1210
573004,81
573005,69
573006,50
573007,166
573008,64
573009,132
573010,95
573013,270
573014,39
573015,152
573018,372
573019,53
573022,106
573023,165
573024,40
573026,136
573027,88
573028,80
573030,573
573031,163
573032,125
573033,38
575001,618
575002,41
575003,361
575004,36
575005,64
575006,21
575007,245
575008,58
575009,192
575010,37
575011,130
575012,22
575013,48
575014,844
575015,14
575016,151
575017,90
575018,107
575019,127
580001,60
580002,45
580003,719
580004,433
580005,212
580006,42
580007,197
580008,173
580009,160
580010,85
580011,256
580012,407
580013,230
580014,282
580015,499
580016,389
580017,326
580018,583
607001,620
607002,142
607003,1437
607004,29
607005,534
607006,1597
607007,241
607008,88
615001,79
615002,87
615003,164
615004,0
615005,413
615006,1689
615007,669
615008,240
615009,125
615010,125
615011,604
615012,646
615013,476
615014,74
615015,37
615016,243
615017,240
615018,253
615019,119
615020,26
615021,331
615022,33
621001,129
621002,875
621003,324
621004,672
621005,809
621006,368
621007,393
621008,252
621009,322
621010,345
621011,631
621012,281
621013,343
621014,571
621015,422
630001,323
630002,423
630003,225
630004,203
630005,175
630006,256
630007,84
630008,186
630009,163
630010,92
630011,675
630012,206
630013,660
630014,188
630015,0
630016,133
630017,614
630018,170
630019,89
630020,89
630021,30
630022,15
630023,127
630024,252
630025,65
630026,73
630027,193
630028,80
630029,162
630030,696
630031,13
630032,1231
630033,15
630034,340
657001,971
657002,147
657005,316
657006,55
657007,639
657008,194
657009,59
657011,14
657013,445
657014,65
657015,366
657016,90
657017,888
657018,82
657019,98
657020,22
657021,27
657022,125
657023,534
657024,471
657025,91
657026,1066
657027,501
657028,31
657029,181
657030,115
661001,990
661002,452
661003,134
661004,176
661005,2222
661006,484
661007,150
661008,272
661009,214
661010,136
665001,703
665002,211
665003,248
665004,140
665005,72
665006,101
665007,282
665008,231
671001,646
671002,249
671003,172
671004,186
671005,185
671006,230
671007,249
706001,983
706002,204
706003,146
706004,232
706005,339
706006,484
706007,150
706008,663
707001,570
707002,0
707003,129
707004,663
707005,340
707006,94
707007,212
707008,225
707009,329
707010,136
710001,392
710002,359
710003,200
710004,696
710005,59
710006,327
710007,500
710008,95
710009,243
710010,208
710011,92
710012,335
710013,76
710014,49
727001,1037
727002,7
727003,141
727004,32
727005,94
727006,40
727007,52
727008,38
727009,0
727010,0
730001,210
730002,198
730004,37
730005,94
730006,61
730007,89
730008,221
730009,161
730010,102
730011,267.34
730012,164
730013,235
730014,435
730015,70
730016,85
730017,141
730021,221
730024,7.66
730025,55
730026,1225
730027,416
730028,12
730029,1243
730030,305
730031,881
730032,392
730033,17
730034,263
730036,361
730037,59
740001,226
740002,114
740003,158
740004,165
740005,39
740006,656
740007,466
740008,43
740009,55
740010,59
740011,99
740012,20
740013,345
740014,37
740015,86
740016,179
740017,57
740018,122
740021,782
740022,218
740023,384
740024,67
740025,39
740026,14
740027,245
740028,261
740029,1031
740030,383
740031,76
740032,226
741001,164
741002,24
746001,97
746002,592
746003,92
746004,1028
746005,208
746006,802
746007,1143
746008,460
746009,615
746010,461
746011,207
746012,160
751001,0
751002,94
751003,471
751004,129
751006,1693
751007,154
751008,1168
751009,527
751010,15.25
751011,375
751012,408
751013,262
751014,3.92
751016,15
751018,554
751019,231
751020,33.80
751021,77.02
751022,381
751023,1240
751024,481
751025,1894
751026,1962
751027,0
751028,1084
751030,285
751031,19
751033,125
751041,46
751042,103
751043,174
751044,37
751045,442
751047,1424
751048,158
751049,722
751050,467
751051,724
751053,483
751055,73
751056,69
751061,1066
751062,856
751063,1968
751064,145
751065,606
751066,403
751067,281
751068,1
756001,218
756002,59
756003,230
756004,68
756005,664
756006,54
756007,1801
756008,94
756009,324
756010,261
760001,497.49
760002,123
760004,67.05
760007,120.46
760010,429
760012,110
760014,830
760016,76
760021,213
760022,168
760024,625
760025,72
760027,122
760028,84
760030,614
760032,96
760033,239
760035,288
766001,473
766002,538
766003,123
766004,128
766005,36
766006,195
766007,402
766010,114
766011,72
766012,134
766013,62
766014,57
766015,130
766017,134
766020,185
766021,209
766022,119
766023,46
766024,105
773001,86
773002,274.58
773003,146.36
773004,101
773005,891.06
779020,49
779021,2226
779022,389
779023,329
779024,311
779025,373
779026,437
779027,249
787001,1194.99
787002,204.02
787003,413.33
787004,353.51
787005,165.68
787006,44
787007,152.59
787008,140.62
787009,143.49
787010,84
787011,87.62
787012,135.45
787013,87.69
787014,136
787015,68
791001,286
791002,266
791003,333
791004,246
791005,229
791006,284
791007,244
791008,1956
791009,694
791011,135
791012,348
791013,1412
791014,230
791015,256
791016,322
791017,250
810001,60
810002,168
810003,499
810004,85
810005,477
810006,144
810010,1221
810034,21
810040,55
810050,102
810056,17
810070,122
810080,46
813001,858
813002,233
813003,86
813004,196
813005,187
813006,2398
813007,178
813008,259
813009,1066
813010,73
813011,49
813012,27
813013,134
813014,41
813015,159
820001,312
820002,615
820003,48
820004,905
820005,99
820006,45
820007,89
820008,89
820009,64
820010,363
820011,118
820012,54
820013,74
820014,29
825015,183
840001,892
840002,321
840003,311
840004,145
840005,156
840006,68
840007,236
840008,82
840009,39
840010,102
840011,16
846002,247
846003,214
846004,315
846008,155
846009,127
846011,637
846014,39
846018,195
846020,240
846022,99
846027,725
849001,524
849002,264
849003,128
849004,84
849005,101
849006,34
849007,48
849008,284
849009,174
849010,74
849011,61
849012,129
849013,370
849014,85
849015,54
849016,35
849018,622
849020,161
849021,111
851003,170.79
851004,133.21
851005,1767
851007,342
851009,269.57
851010,339.43
851011,749
851012,54.61
851014,3
851015,13
851016,145.39
851017,528
851018,972
851019,681.22
851020,396.78
851022,628
851024,627
851027,122.47
851028,19.77
851029,621.49
851030,231.35
851031,568
851032,586
851033,593
851034,627.62
851035,391
851036,391.30
851038,334
851040,2563
851043,669
851044,441
851046,99
851047,393
851052,125
851056,185
851058,267
851061,435
860001,229
860003,464
860004,157
860006,139
860007,118
