ValgstedId,Boligtype_Antal_boliger_01. Stuehuse og parcelhuse,Boligtype_Antal_boliger_02. Række- og kædehuse,Boligtype_Antal_boliger_03. Flerfamiliehuse,Boligtype_Antal_boliger_04. Kollegier,Boligtype_Antal_boliger_05. Sommerhuse,Boligtype_Antal_boliger_06. Øvrige boliger
217004,1175,857,380,0,12,29
217005,1398,386,251,0,243,53
217006,419,12,19,0,38,18
217007,448,53,33,0,147,10
217008,226,205,18,0,0,14
217009,794,1144,290,0,4,9
217010,1148,180,633,0,4,48
217011,1106,734,1213,0,1,20
217012,212.75,78.71,1293.86,0,0.46,27.09
219001,964,464,2952,219,0,35
219002,1328,138,1368,0,1,17
219003,286,25,14,0,0,1
219004,312,277,12,0,1,4
219005,739,69,19,0,73,5
219006,920,846,824,0,0,5
219007,531,212,46,1,80,5
219008,390,12,19,0,0,1
219009,820,275,956,0,0,1
219010,907,480,2080,1,0,75
219011,644,151,19,0,0,6
219012,1024,380,137,0,3,8
219013,397,128,28,0,0,6
219014,338,167,11,0,12,1
223001,694,484,2000,0,0,8
223002,958,1521,545,0,0,8
223003,1163,305,388,1,2,8
223004,142,6,9,0,0,3
223005,1110,607,1545,0,0,10
230001,1141,1016,1031,0,0,13
230003,1342,413,1171,0,0,34
230004,373,732,1622,237,0,13
230005,1647,422,1019,0,29,35
230006,925,80,436,0,0,6
230007,1697,307,1684,1,0,14
230008,1052,718,709,6,0,15
230009,740,139,546,454,0,14
230010,1635,316,1311,92,0,29
240001,370,52,7,0,0,27
240002,1718,1770,686,17,1,14
240003,1759.87,609.49,259.51,0,1.99,21.87
240004,355,418,48,0,0,7
240005,935,396,37,0,3,24
240006,387,58,0,0,156,11
240007,1978.14,422.65,385.18,2.92,22,16.22
240008,1210.57,1024.11,113.79,42.07,0,4.78
240009,590.41,998.75,290.52,0.01,0.01,86.13
250001,942,402,2563,0,1,77
250002,1121,1070,409,0,1,10
250003,2007,364,273,0,0,12
250004,2282,788,262,5,302,30
250005,1865,647,267,7,966,31
250006,1953,1044,300,0,13,15
253001,488.83,729.57,2292.07,0,1.46,9.33
253002,3939.46,1795.31,2693.49,0,3.79,49.95
253003,2079.70,437.13,292.44,0,0.75,16.72
253004,2134,1144,345,0,2,40
253005,1679,1072,68,0,0,11
259001,1729,393,2497,0,7,53
259002,667.74,206.23,2238.39,0,0,9.16
259003,1309.04,656.27,1445.25,0,0,35.53
259004,1229,114,435,0,1,10
259005,1009,831,854,0,0,29
259006,1850,1424,225,0,3,28
259007,1126.96,444.73,53.75,0,0,9.47
259008,797.26,198.77,4.61,0,0,2.84
259009,1016,377,52,0,8,19
259010,477,24,14,0,1,7
259011,1305,698,594,0,42,31
260001,2988,612,678,0,178,19
260002,1059,156,97,0,506,1
260003,1159.58,426.35,29.14,0,92.26,9.71
260004,2179.42,602.65,1748.86,9,201.74,71.29
