ValgstedId,Kriminalitet D. Strafferetslige afgørelser efter oprindelse_1. Dansk oprindelse,Kriminalitet D. Strafferetslige afgørelser efter oprindelse_2. Indvandrere,Kriminalitet D. Strafferetslige afgørelser efter oprindelse_3. Efterkommere
326003,130,9,1
326004,84,2,1
326005,50,0,0
326006,10,1,0
326007,29,2,0
326008,87,2,0
326009,109,8,5
326010,57,2,1
326011,42,0,1
326012,93,20,11
326013,74,18,3
326014,37,5,0
326015,72,7,1
326016,60,4,2
326017,22,0,0
326018,60,32,12
329001,203,53,25
329002,15,1,0
329003,23,1,0
329004,83,26,24
329005,26,0,2
329006,99,31,28
329008,35,2,0
329009,38,2,0
329010,26,3,0
329011,12,4,0
329012,24,2,0
329013,37,2,1
329014,31,2,1
330001,121,11,0
330003,39,4,4
330004,47,3,0
330005,151,20,6
330006,150,52,28
330007,37,4,2
330008,74,0,0
330009,143,64,28
330010,55,4,0
330011,188,21,6
330012,0,0,0
330013,49,2,1
330017,0,0,0
330019,307,61,39
330021,109,17,11
330022,184,69,51
330024,56,4,0
330025,73,1,0
336001,132,18,2
336002,157,11,3
336003,144,18,1
336004,109,11,0
340001,152,12,6
340002,82,8,1
340004,66,8,0
340005,142,22,1
340006,111,12,0
340008,137,7,1
340010,172,9,2
350001,87,16,5
350002,42,2,0
350003,27,2,0
350004,24,3,1
350005,41,8,5
350006,66,16,4
350008,51,3,1
350009,45,5,0
350011,32,2,0
350012,53,4,1
360001,24,2,0
360003,103,8,3
360008,47,8,0
360011,70.40,6.63,1.26
360013,169,30,9
360014,0,0,0
360019,130,6,4
360020,189,40,12
360021,114.13,11.32,4.72
360026,26.47,1.05,0.02
360027,15,2,0
360028,0,0,0
360029,72,7,1
360035,96,6,1
360036,138,11,0
360037,90,8,5
370001,152,10,0
370002,36,1,0
370003,75,2,0
370004,62,8,0
370005,22,2,0
370006,85,8,2
370007,60,4,1
370008,132,9,4
370009,30,2,0
370010,47,4,1
370011,70,4,1
370012,16,4,1
370014,94,13,3
370020,96,12,2
370021,142,21,9
370022,223,38,12
370023,147,16,6
370024,125,17,2
370026,74,7,0
370027,133,15,8
370028,88,46,11
370029,26,1,0
370031,72,6,3
370032,61,2,0
376001,181,19,8
376002,82,10,2
376003,60,39,7
376004,69,15,4
376005,60,3,1
376006,57,5,0
376007,61,6,1
376008,84,7,0
376009,58,3,0
376010,99,4,5
376011,85,7,1
376012,83,10,0
376013,190,13,7
376014,58,4,0
376015,55,4,1
376016,113,13,4
376017,101,3,3
376018,44,5,1
376019,88,5,0
376020,53,2,0
390001,152,42,5
390002,111,9,0
390003,57,9,1
390004,62,12,2
390005,45,2,1
390006,154,9,1
390007,60,1,1
390008,150,12,0
390009,41,5,1
390010,97,3,1
390011,23,1,0
390012,121,6,2
390013,55,3,0
390014,18,4,2
390015,68,4,1
390016,68,7,1
390017,53,1,0
400001,64,1,0
400002,66,5,0
400003,33,3,1
400004,71,11,0
400005,45,3,0
400006,87,9,2
400007,63,9,1
400008,245,27,1
400009,50,3,1
410001,138,22,1
410002,111,9,3
410003,102,6,0
410004,72,7,3
410005,35,1,0
410006,100,13,0
410007,45,3,0
410008,78,14,1
410009,77,4,1
410010,87,1,0
410011,49,7,1
411001,0,0,0
420001,183,40,1
420002,47,0,0
420003,34,1,0
420004,35,3,0
420005,80,3,1
420006,18,2,0
420007,34,5,0
420008,87,7,0
420009,43,3,1
420010,32,2,0
420011,138,9,0
420012,31,1,0
420013,73,7,1
420014,21,2,0
420015,24,2,0
420016,45,6,0
420017,44,6,0
420018,51,4,0
430001,32,1,0
430002,31,5,0
430003,56,5,0
430004,39,1,0
430005,0,0,0
430007,162,12,2
430008,44,7,0
430009,58,7,0
430010,0,0,0
430011,46,1,0
430012,43,4,0
430013,47,2,0
430014,41,7,0
430015,151,14,6
430016,44,3,0
430017,49,9,2
430018,58,5,1
430019,42,2,0
430020,69,14,1
430021,48,2,0
430022,76,4,2
440001,49,3,0
440002,95,16,0
440003,44,2,0
440004,41,4,2
440005,73,12,1
440006,131,13,5
450001,34,2,3
450002,128,27,7
450003,105,14,3
450004,60,4,2
450005,34,3,0
450006,56,4,2
450007,12,0,0
450008,8,1,0
450009,29,0,0
450010,26,1,0
450011,41,1,1
450012,34,0,1
450013,23,0,0
461001,316,78,66
461002,173,56,33
461003,72,52,24
461004,152,29,16
461005,101,82,40
461006,35,13,4
461007,86,50,35
461009,60,11,2
461011,218,37,16
461012,220,80,33
461013,26,1,0
461014,138,18,3
461016,88,4,1
461017,105,18,6
461018,74,11,3
461019,79,14,6
461020,83,17,2
461021,88,9,3
461023,224,35,8
461024,90,3,4
461025,113,55,13
461026,167,14,7
461028,91,6,2
461029,91,17,10
461030,123,35,10
461031,58,6,2
461032,21,4,2
461033,100,17,2
461035,105,271,194
461036,67,15,4
479001,365,38,10
479002,77,10,5
479003,129,41,19
479004,10.78,0,0
479005,58,1,0
479006,0,0,0
479007,37,2,1
479008,8.22,0,0
479009,60,1,1
479010,70,2,0
479011,45,3,0
479014,33,5,0
